N,L,noise,average_va,last_va
40,3.1,2.9,0.664731,0.649825
40,3.1,3.3,0.586419,0.524184
40,3.1,3.5,0.53856,0.577907
40,3.1,3.1,0.628078,0.601522
40,3.1,2.1,0.818335,0.857426
40,3.1,3.7,0.486173,0.387369
400,10,5,0.0594191,0.098224
400,10,4.9,0.0674831,0.108141
400,10,4.8,0.0705195,0.0445759
400,10,4.7,0.0777181,0.0369892
400,10,4.4,0.11589,0.0953421
400,10,4.5,0.0982317,0.145668
400,10,4.6,0.0883837,0.134469
400,10,4.3,0.128215,0.103486
400,10,4.2,0.167439,0.256403
400,10,3.9,0.243351,0.231569
400,10,4.1,0.170207,0.0911032
400,10,1.2,0.922821,0.937663
400,10,4,0.230642,0.177117
400,10,2.2,0.749977,0.757613
400,10,2.4,0.699302,0.698771
400,10,3.8,0.276743,0.336328
400,10,0.6,0.97909,0.981005
400,10,0.4,0.991211,0.989878
400,10,0.8,0.966063,0.966432
400,10,3.6,0.338971,0.298451
400,10,2.8,0.607822,0.588088
400,10,2.6,0.656421,0.667775
400,10,1,0.945241,0.942335
400,10,1.6,0.860988,0.834435
400,10,3.4,0.415496,0.294061
400,10,3,0.549695,0.574196
400,10,2,0.78866,0.679448
400,10,1.8,0.833874,0.842315
400,10,3.2,0.488702,0.501283
400,10,1.4,0.895531,0.899276
400,10,0.2,0.997759,0.99779
400,10,0,1,1
400,10,2.3,0.722965,0.740628
400,10,2.5,0.67283,0.666118
400,10,1.5,0.881012,0.896265
400,10,2.9,0.569166,0.486688
400,10,1.3,0.899253,0.905003
400,10,0.9,0.951158,0.956555
400,10,0.5,0.985251,0.983738
400,10,3.5,0.407344,0.275801
400,10,3.7,0.281508,0.221427
400,10,2.1,0.765035,0.742978
400,10,2.7,0.635397,0.644504
400,10,3.3,0.45502,0.425405
400,10,1.9,0.807884,0.811641
400,10,3.1,0.519693,0.559534
400,10,1.7,0.844931,0.84473
400,10,0.7,0.972278,0.972422
400,10,0.3,0.994698,0.994881
400,10,1.1,0.93125,0.942863
400,10,0.1,0.999467,0.999422
4000,31.6,5,0.019713,0.0325201
4000,31.6,4.7,0.0239492,0.0179507
4000,31.6,4.8,0.0229808,0.0148894
4000,31.6,4.9,0.0199156,0.0210345
4000,31.6,4.6,0.0252781,0.0154532
4000,31.6,4.4,0.0366665,0.0306216
4000,31.6,4.5,0.0282851,0.0434984
4000,31.6,4.3,0.037348,0.0240143
4000,31.6,4.2,0.0572011,0.099199
4000,31.6,4.1,0.0666761,0.0452635
4000,31.6,4,0.0756705,0.0825822
4000,31.6,3.9,0.0931824,0.101128
4000,31.6,3.8,0.0902422,0.194931
4000,31.6,3.6,0.214244,0.261449
4000,31.6,3.4,0.245453,0.221231
4000,31.6,1.8,0.714072,0.699351
4000,31.6,3.2,0.283992,0.475648
4000,31.6,1.6,0.816134,0.78049
4000,31.6,2,0.68401,0.665541
4000,31.6,3,0.399128,0.230726
4000,31.6,2.2,0.662511,0.602475
4000,31.6,2.6,0.597697,0.618
4000,31.6,2.8,0.417439,0.525528
4000,31.6,1.2,0.902526,0.897082
4000,31.6,2.4,0.619627,0.619502
4000,31.6,1.4,0.869186,0.86637
4000,31.6,0.8,0.952403,0.954819
4000,31.6,1,0.929507,0.9402
4000,31.6,0.6,0.970249,0.973419
4000,31.6,0.4,0.988544,0.984817
4000,31.6,0,1,1
4000,31.6,3.7,0.155321,0.078631
4000,31.6,0.2,0.997056,0.997983
4000,31.6,3.5,0.146902,0.226128
4000,31.6,3.3,0.222931,0.37412
4000,31.6,1.9,0.743611,0.744614
4000,31.6,2.1,0.695719,0.727564
4000,31.6,3.1,0.193581,0.279137
4000,31.6,2.7,0.492382,0.542803
4000,31.6,2.9,0.36129,0.355955
4000,31.6,2.5,0.585243,0.544118
4000,31.6,2.3,0.647623,0.578084
4000,31.6,1.7,0.804931,0.832004
4000,31.6,1.3,0.88394,0.897654
4000,31.6,1.5,0.849642,0.855014
4000,31.6,0.9,0.933176,0.953276
4000,31.6,1.1,0.911246,0.917477
4000,31.6,0.7,0.965616,0.963877
4000,31.6,0.5,0.978832,0.97973
4000,31.6,0.3,0.993927,0.994287
4000,31.6,0.1,0.999398,0.99947
