N,L,noise,average_va,last_va
40,3.1,3.1,0.626127,0.485906
40,3.1,2.9,0.668564,0.603468
40,3.1,3.7,0.490179,0.453352
40,3.1,2.5,0.746881,0.718095
40,3.1,3.5,0.536957,0.322687
400,10,5,0.0604746,0.103452
400,10,4.9,0.0653856,0.0153205
400,10,4.6,0.08819,0.00996323
400,10,4.8,0.0702949,0.0135685
400,10,4.7,0.0769034,0.0667534
400,10,4.5,0.0993942,0.0632854
400,10,4.4,0.111568,0.18567
400,10,4.3,0.12846,0.19985
400,10,4.2,0.157887,0.153918
400,10,0.4,0.990863,0.989421
400,10,4.1,0.188143,0.116899
400,10,0.6,0.980394,0.979504
400,10,2,0.787435,0.770992
400,10,4,0.213201,0.301649
400,10,3.9,0.240601,0.323117
400,10,1.4,0.89447,0.873224
400,10,0.8,0.964025,0.965297
400,10,2.2,0.74644,0.775302
400,10,1,0.945188,0.934042
400,10,2.8,0.601124,0.614299
400,10,3.8,0.281135,0.274599
400,10,2.4,0.702451,0.717893
400,10,3.2,0.485935,0.494851
400,10,3.6,0.358864,0.25374
400,10,1.6,0.860976,0.870423
400,10,3.4,0.417777,0.483159
400,10,3,0.534382,0.63616
400,10,1.2,0.919477,0.89463
400,10,2.6,0.651784,0.677839
400,10,1.8,0.823925,0.793868
400,10,0.2,0.997831,0.997782
400,10,0,1,1
400,10,0.5,0.986229,0.9845
400,10,0.7,0.972543,0.971826
400,10,1.1,0.932339,0.938554
400,10,1.3,0.907961,0.92955
400,10,0.9,0.955231,0.956852
400,10,2.3,0.723601,0.741526
400,10,2.1,0.764445,0.674122
400,10,3.5,0.387534,0.456414
400,10,2.9,0.573169,0.650592
400,10,0.3,0.995227,0.994927
400,10,3.3,0.457197,0.53941
400,10,3.1,0.527123,0.567263
400,10,2.7,0.625925,0.589772
400,10,1.7,0.84247,0.850458
400,10,1.9,0.805294,0.805802
400,10,1.5,0.878635,0.866585
400,10,3.7,0.313097,0.249484
400,10,2.5,0.676768,0.717747
400,10,0.1,0.99947,0.999286
4000,31.6,4.8,0.0225846,0.0143858
4000,31.6,5,0.0192371,0.00726172
4000,31.6,4.9,0.0208351,0.0150446
4000,31.6,4.7,0.025287,0.0304749
4000,31.6,4.5,0.0313971,0.019043
4000,31.6,4.4,0.0392925,0.00443833
4000,31.6,4.6,0.0280884,0.018665
4000,31.6,4.3,0.0434461,0.0184272
4000,31.6,4.2,0.0535577,0.0219897
4000,31.6,4.1,0.0631408,0.0649926
4000,31.6,4,0.0751202,0.057383
4000,31.6,3.9,0.0957384,0.101225
4000,31.6,3.8,0.116624,0.220104
4000,31.6,3.6,0.162366,0.09134
4000,31.6,3.4,0.233676,0.312455
4000,31.6,3.2,0.255546,0.371117
4000,31.6,1.8,0.772752,0.778912
4000,31.6,2,0.728354,0.747656
4000,31.6,2.8,0.381643,0.437616
4000,31.6,1.6,0.819737,0.818967
4000,31.6,3,0.350817,0.366764
4000,31.6,2.2,0.653234,0.691121
4000,31.6,2.6,0.494975,0.54806
4000,31.6,2.4,0.624575,0.595895
4000,31.6,1.2,0.894255,0.892223
4000,31.6,1.4,0.861938,0.87558
4000,31.6,1,0.922867,0.919411
4000,31.6,0.8,0.953225,0.93759
4000,31.6,0.6,0.972507,0.972076
4000,31.6,0.4,0.987913,0.990177
4000,31.6,0.2,0.996619,0.997275
4000,31.6,0,1,1
4000,31.6,3.7,0.141622,0.11125
4000,31.6,3.5,0.215262,0.238559
4000,31.6,3.3,0.275986,0.23136
4000,31.6,2.1,0.691603,0.68205
4000,31.6,3.1,0.352582,0.295029
4000,31.6,1.9,0.750619,0.756741
4000,31.6,2.3,0.631537,0.68989
4000,31.6,2.9,0.424977,0.531563
4000,31.6,1.3,0.878613,0.893653
4000,31.6,2.7,0.499473,0.544225
4000,31.6,2.5,0.575767,0.523571
4000,31.6,1.7,0.794517,0.767151
4000,31.6,1.5,0.840778,0.854459
4000,31.6,0.9,0.941007,0.946798
4000,31.6,1.1,0.911996,0.92928
4000,31.6,0.7,0.963408,0.955086
4000,31.6,0.5,0.980658,0.980116
4000,31.6,0.3,0.992605,0.995305
4000,31.6,0.1,0.999325,0.999415
