n,t,va,prev
40,5000,0.963368,0.0242242
41,5000,0.964799,0.00105742
43,5000,0.972636,0.00176988
45,5000,0.832699,0.00169615
48,5000,0.946221,0.00695138
50,5000,0.966936,0.0116965
52,5000,0.961937,0.0012705
55,5000,0.939514,0.0169225
58,5000,0.905124,0.0263748
60,5000,0.773203,0.00544996
63,5000,0.964686,0.0107259
66,5000,0.680507,0.0211263
69,5000,0.937374,0.0109147
73,5000,0.299708,0.0371138
76,5000,0.198578,0.0147352
80,5000,0.552574,0.0346517
84,5000,0.429812,0.0263178
88,5000,0.685909,0.0105125
92,5000,0.41451,0.0228167
96,5000,0.644907,0.000893114
101,5000,0.712681,0.00833734
106,5000,0.326594,0.0660978
111,5000,0.0909278,0.013028
116,5000,0.564679,0.0104574
122,5000,0.266738,0.0152914
127,5000,0.567749,0.0239517
134,5000,0.142022,0.0181446
140,5000,0.446009,0.0203797
147,5000,0.58712,0.0144657
154,5000,0.517449,0.0036771
161,5000,0.469061,0.0277723
169,5000,0.45529,0.0398539
177,5000,0.262417,0.000140819
185,5000,0.222754,0.000922952
194,5000,0.664222,0.00192112
203,5000,0.284839,0.0153122
213,5000,0.341363,0.0245751
223,5000,0.151811,0.00236664
234,5000,0.318734,0.00778325
245,5000,0.617286,0.00679817
257,5000,0.347666,0.00480799
269,5000,0.334579,0.0163502
282,5000,0.210579,0.00943487
295,5000,0.338945,0.0462755
309,5000,0.246677,0.0031732
324,5000,0.40052,0.0134638
339,5000,0.313812,0.012174
356,5000,0.308903,0.00439352
373,5000,0.546358,0.0181087
390,5000,0.439867,0.00518799
409,5000,0.3997,0.0215393
428,5000,0.317328,0.00965888
449,5000,0.398714,0.0088031
470,5000,0.297699,0.0123356
493,5000,0.0945868,0.0264693
516,5000,0.323756,0.00462812
541,5000,0.448555,0.0111504
566,5000,0.113187,0.00889249
593,5000,0.393461,0.00914754
622,5000,0.550102,0.0115588
651,5000,0.282986,0.00548591
682,5000,0.24015,0.0104702
715,5000,0.283926,0.022145
749,5000,0.267701,0.0100611
785,5000,0.228458,0.00252428
822,5000,0.22599,0.0147011
861,5000,0.0572694,0.00202937
902,5000,0.132533,0.00976332
945,5000,0.21163,0.0203048
990,5000,0.275733,0.000951066
1038,5000,0.295387,0.0118737
1087,5000,0.294313,0.00717393
1139,5000,0.284319,0.0161892
1193,5000,0.104018,0.00143752
1250,5000,0.269081,0.00426766
1309,5000,0.407706,0.00496819
1372,5000,0.291728,0.0033862
1437,5000,0.270864,0.00948006
1505,5000,0.231352,0.011638
1577,5000,0.291904,0.0133659
1652,5000,0.190421,0.005205
1731,5000,0.186073,0.00670905
1813,5000,0.245272,0.00826187
1900,5000,0.126617,0.00311411
1990,5000,0.129281,0.00117609
2085,5000,0.147708,0.00557607
2184,5000,0.0455376,0.00603783
2288,5000,0.199725,0.00288659
2397,5000,0.372885,0.00228974
2512,5000,0.332769,0.00269521
2631,5000,0.321914,0.0021271
2757,5000,0.146804,0.002566
2888,5000,0.236919,0.00751429
3025,5000,0.141582,0.00356778
3169,5000,0.147626,0.00471942
3320,5000,0.220804,0.00682343
3478,5000,0.214871,0.002007
3644,5000,0.195787,0.00180403
3818,5000,0.260556,0.00238077
4000,5000,0.430803,0.000632756
