n,t,va,prev
40,5000,0.966083,0.00690917
41,5000,0.96152,0.0204202
43,5000,0.971737,0.00912129
45,5000,0.984295,0.0105605
48,5000,0.96544,0.00555861
50,5000,0.972147,0.00902491
52,5000,0.976388,0.00970421
55,5000,0.964692,0.00126807
58,5000,0.96615,0.00782852
60,5000,0.964967,0.00220414
63,5000,0.966052,0.00144829
66,5000,0.975644,0.0169199
69,5000,0.974809,0.00292565
73,5000,0.969188,0.00390556
76,5000,0.96786,0.00271269
80,5000,0.971995,0.000140745
84,5000,0.976247,0.00944235
88,5000,0.97499,0.00428602
92,5000,0.965898,0.0052892
96,5000,0.97757,0.00454683
101,5000,0.966407,6.16691e-05
106,5000,0.975342,0.00930063
111,5000,0.971275,0.00746692
116,5000,0.956977,0.00394384
122,5000,0.958777,0.00233662
127,5000,0.973305,0.0059981
134,5000,0.967865,0.00279533
140,5000,0.971599,0.000527883
147,5000,0.967613,0.00191997
154,5000,0.947047,0.00340582
161,5000,0.972007,0.00386275
169,5000,0.949999,6.75659e-05
177,5000,0.954309,0.00100566
185,5000,0.92739,0.00307473
194,5000,0.950916,0.00188257
203,5000,0.966388,0.00253927
213,5000,0.924403,0.0071583
223,5000,0.962235,0.00286798
234,5000,0.961515,0.00873019
245,5000,0.939068,0.0089602
257,5000,0.401311,0.000723029
269,5000,0.958129,0.000712581
282,5000,0.940101,0.012302
295,5000,0.529925,0.0244016
309,5000,0.642901,0.00121577
324,5000,0.758671,0.00139703
339,5000,0.729403,0.0126951
356,5000,0.499396,0.00841885
373,5000,0.594848,0.0153155
390,5000,0.213498,0.0189946
409,5000,0.325503,0.00142181
428,5000,0.430491,0.0144016
449,5000,0.780462,0.00402659
470,5000,0.482421,0.00336903
493,5000,0.564485,0.0108435
516,5000,0.247794,0.0144728
541,5000,0.532587,0.0260049
566,5000,0.589051,0.00236175
593,5000,0.501408,0.00523016
622,5000,0.0738358,0.000284553
651,5000,0.615044,0.00696682
682,5000,0.662321,0.016343
715,5000,0.55868,0.00275062
749,5000,0.510264,0.0355456
785,5000,0.14379,0.0124331
822,5000,0.732979,0.00342884
861,5000,0.660932,0.0132784
902,5000,0.504925,0.00595415
945,5000,0.678975,0.0126892
990,5000,0.767632,0.00466792
1038,5000,0.577423,0.00500091
1087,5000,0.570405,0.00406244
1139,5000,0.759723,0.00241596
1193,5000,0.560755,0.00264043
1250,5000,0.640089,0.00909157
1309,5000,0.590646,0.0039109
1372,5000,0.601923,0.0184068
1437,5000,0.607885,0.00394932
1505,5000,0.374884,0.00143232
1577,5000,0.843118,0.0015089
1652,5000,0.626132,0.00419279
1731,5000,0.711056,0.00500964
1813,5000,0.609868,0.00726484
1900,5000,0.689381,0.000356492
1990,5000,0.751817,0.0114711
2085,5000,0.779538,0.000287556
2184,5000,0.544967,0.00701766
2288,5000,0.681381,0.0100472
2397,5000,0.691348,0.00106284
2512,5000,0.427127,0.00567652
2631,5000,0.774754,0.00747327
2757,5000,0.537396,0.00136495
2888,5000,0.694047,0.0014147
3025,5000,0.72237,0.00156939
3169,5000,0.671402,0.00423173
3320,5000,0.749694,0.00132783
3478,5000,0.688762,0.000438931
3644,5000,0.595714,0.0018363
3818,5000,0.671497,0.00236832
4000,5000,0.733835,0.00512097
