n,t,va,prev
40,5000,0.99925,0.000193664
41,4265,0.999697,2.77918e-07
43,5000,0.999792,6.8669e-05
45,5000,0.999708,7.75784e-05
48,5000,0.999557,9.46818e-05
50,5000,0.999688,0.000173403
52,5000,0.99956,5.74337e-05
55,5000,0.999525,1.18522e-05
58,5000,0.999622,0.000121815
60,5000,0.999618,2.1147e-05
63,709,0.99954,2.02717e-08
66,5000,0.999068,0.000271748
69,5000,0.99963,3.10772e-05
73,5000,0.999492,3.00889e-05
76,5000,0.999599,2.0691e-05
80,5000,0.999491,3.81834e-05
84,5000,0.99951,1.86987e-05
88,3895,0.999521,6.50324e-07
92,502,0.999432,3.0042e-07
96,5000,0.999483,0.000195926
101,5000,0.999378,6.3973e-05
106,379,0.999523,9.21019e-07
111,4848,0.999433,7.1853e-07
116,5000,0.999241,4.76525e-05
122,1594,0.999461,8.07423e-07
127,5000,0.999375,0.000180981
134,5000,0.99923,5.05811e-05
140,5000,0.999379,6.32718e-05
147,5000,0.999579,1.28501e-05
154,4404,0.999486,3.88603e-08
161,770,0.999226,9.04903e-07
169,5000,0.999482,3.54745e-05
177,5000,0.99957,1.14645e-05
185,3180,0.999355,4.22976e-07
194,5000,0.999314,5.90656e-05
203,5000,0.999455,7.95824e-05
213,5000,0.999343,0.000114138
223,5000,0.999426,2.20865e-05
234,5000,0.9993,0.00017029
245,5000,0.999545,7.1556e-05
257,5000,0.999356,9.16399e-05
269,1779,0.999292,8.32979e-07
282,5000,0.999503,8.58974e-05
295,3683,0.999385,3.08892e-10
309,5000,0.999244,3.88452e-05
324,1641,0.999422,8.70724e-07
339,3224,0.999329,5.40367e-08
356,3333,0.999319,3.83156e-07
373,205,0.999351,1.0632e-07
390,5000,0.999306,5.96504e-05
409,5000,0.999383,5.04183e-05
428,5000,0.999206,2.93826e-06
449,5000,0.999271,3.03964e-05
470,5000,0.998035,0.000196721
493,5000,0.997453,0.000273211
516,107,0.997103,1.74797e-07
541,5000,0.989883,8.49905e-05
566,5000,0.995974,5.07266e-05
593,5000,0.988846,4.19048e-05
622,5000,0.995095,0.000209341
651,5000,0.997631,0.000156206
682,5000,0.996979,8.42162e-05
715,5000,0.99433,4.80411e-05
749,5000,0.99136,0.00025878
785,5000,0.998269,9.75895e-05
822,5000,0.988804,0.000547957
861,5000,0.983705,0.000497934
902,5000,0.994822,0.000503445
945,5000,0.991985,4.62122e-05
990,5000,0.993826,7.54128e-05
1038,5000,0.994003,0.000247954
1087,5000,0.996907,0.000121183
1139,5000,0.992026,0.000261314
1193,5000,0.993418,1.54719e-05
1250,4167,0.995532,6.14194e-07
1309,5000,0.993077,4.7795e-05
1372,5000,0.992768,0.0001685
1437,5000,0.985573,1.241e-05
1505,5000,0.988915,0.000296964
1577,5000,0.995893,0.000227884
1652,5000,0.986706,0.000229433
1731,5000,0.991435,0.00018934
1813,5000,0.991347,0.000196594
1900,5000,0.992534,3.43333e-05
1990,5000,0.98826,4.88457e-05
2085,5000,0.985304,0.000198264
2184,5000,0.994469,6.60319e-05
2288,5000,0.995542,7.61423e-06
2397,5000,0.979228,0.000184899
2512,5000,0.994052,9.35173e-05
2631,5000,0.991804,0.000196741
2757,5000,0.992054,4.04187e-05
2888,5000,0.992488,9.74211e-05
3025,5000,0.990157,0.000117739
3169,5000,0.98544,0.000244585
3320,5000,0.987184,4.38756e-07
3478,5000,0.99508,0.000165441
3644,5000,0.991076,0.000143126
3818,1683,0.985977,2.05596e-07
4000,5000,0.990794,9.36163e-05
