n,t,va,prev
40,5000,0.708778,0.0890784
41,5000,0.854066,0.0395302
43,5000,0.79009,0.0173419
45,5000,0.866065,0.014367
48,5000,0.723984,0.117887
50,5000,0.832747,0.0531977
52,5000,0.819462,0.106242
55,5000,0.792491,0.0382056
58,5000,0.819061,0.00828591
60,5000,0.835793,0.0980443
63,5000,0.882959,0.087549
66,5000,0.715884,0.133568
69,5000,0.809514,0.101315
73,5000,0.56715,0.0962326
76,5000,0.731377,0.0469449
80,5000,0.830196,0.0360756
84,5000,0.724463,0.117709
88,5000,0.805665,0.00432081
92,5000,0.581177,0.0656691
96,5000,0.435214,0.0454906
101,5000,0.777326,0.0842013
106,5000,0.586256,0.00928907
111,5000,0.853334,0.0560756
116,5000,0.246371,0.0286586
122,5000,0.736899,0.0397875
127,5000,0.639506,0.0867368
134,5000,0.645105,0.0814888
140,5000,0.618476,0.035746
147,5000,0.627256,0.0341282
154,5000,0.648483,0.0582284
161,5000,0.257785,0.0392429
169,5000,0.711875,0.0714629
177,5000,0.482813,0.023279
185,5000,0.484661,0.0331268
194,5000,0.564165,0.0736415
203,5000,0.117866,0.0676222
213,5000,0.622187,0.00065239
223,5000,0.534963,0.0219695
234,5000,0.657346,0.0246585
245,5000,0.343715,0.00486719
257,5000,0.254841,0.0625512
269,5000,0.624717,0.0222065
282,5000,0.28659,0.0182601
295,5000,0.342043,0.0201349
309,5000,0.445015,0.010857
324,5000,0.441275,0.00449206
339,5000,0.237611,0.0105108
356,5000,0.349461,0.000709973
373,5000,0.376946,0.0628917
390,5000,0.258039,0.000470198
409,5000,0.279665,0.0196296
428,5000,0.162491,0.0346246
449,5000,0.241616,0.0928141
470,5000,0.111168,0.0412612
493,5000,0.1692,0.00161148
516,5000,0.335484,0.0283344
541,5000,0.134819,0.0410931
566,5000,0.186003,0.015004
593,5000,0.316584,0.0111834
622,5000,0.0380377,0.0252231
651,5000,0.14267,0.000183594
682,5000,0.271071,0.0238647
715,5000,0.227229,0.0130029
749,5000,0.139041,0.0205348
785,5000,0.278031,0.000690916
822,5000,0.32905,0.00283351
861,5000,0.100945,0.00299604
902,5000,0.0322989,0.00697825
945,5000,0.164752,0.0634453
990,5000,0.113017,0.00273846
1038,5000,0.139478,0.0322538
1087,5000,0.145674,0.00878701
1139,5000,0.0620631,0.0212855
1193,5000,0.0870983,0.0118171
1250,5000,0.141713,0.00308999
1309,5000,0.146552,0.00528026
1372,5000,0.0716956,0.020605
1437,5000,0.092406,0.0266623
1505,5000,0.048371,0.00176011
1577,5000,0.0757824,0.00518217
1652,5000,0.169518,0.0326436
1731,5000,0.136537,0.00441283
1813,5000,0.0687571,0.011238
1900,5000,0.0545323,0.00526548
1990,5000,0.096246,0.00645078
2085,5000,0.152877,0.0109908
2184,5000,0.160128,0.00577277
2288,5000,0.0337049,0.0150781
2397,5000,0.0762299,0.0180764
2512,5000,0.0813388,0.0012822
2631,5000,0.0750783,0.00369397
2757,5000,0.0439521,0.00437432
2888,5000,0.15538,0.0165903
3025,5000,0.167205,0.0107645
3169,5000,0.126852,8.82484e-06
3320,5000,0.0892605,0.00585668
3478,5000,0.0882767,0.0084448
3644,5000,0.0871385,0.00367316
3818,5000,0.0767721,0.00271325
4000,5000,0.0662478,0.00191045
