n,t,va,prev
40,5000,0.891101,0.0489953
41,5000,0.904696,0.0306473
43,5000,0.882251,0.0109722
45,5000,0.782672,0.0552024
48,5000,0.853342,0.0291333
50,5000,0.282901,0.0015672
52,5000,0.495928,0.0870843
55,5000,0.319522,0.00464894
58,5000,0.852212,0.0476241
60,5000,0.372426,0.00157675
63,5000,0.690438,0.00697832
66,5000,0.906375,0.0243482
69,5000,0.297957,0.029019
73,5000,0.547706,0.0237758
76,5000,0.417926,0.0254665
80,5000,0.434341,0.00808785
84,5000,0.234533,0.00435154
88,5000,0.486099,0.0511456
92,5000,0.493018,0.0432185
96,5000,0.392658,0.018018
101,5000,0.345865,0.00977368
106,5000,0.58323,0.0108959
111,5000,0.301764,0.000715627
116,5000,0.0501087,0.00486082
122,5000,0.377501,0.0301659
127,5000,0.482789,0.0446755
134,5000,0.848743,0.0283229
140,5000,0.178841,0.0408824
147,5000,0.532254,0.0523636
154,5000,0.205038,0.0512694
161,5000,0.107634,0.0417862
169,5000,0.421936,0.0186419
177,5000,0.220314,0.0154876
185,5000,0.124948,0.0180906
194,5000,0.493215,0.00580544
203,5000,0.299835,0.0179057
213,5000,0.12655,0.0367313
223,5000,0.258701,0.0073915
234,5000,0.419149,0.03514
245,5000,0.191262,0.00260653
257,5000,0.297452,0.0138172
269,5000,0.075238,0.00894997
282,5000,0.119162,0.00225121
295,5000,0.066249,0.0372156
309,5000,0.196044,0.00927194
324,5000,0.0421636,0.00956568
339,5000,0.128165,0.030343
356,5000,0.272759,0.0098838
373,5000,0.113355,0.00672059
390,5000,0.282587,0.0312368
409,5000,0.199221,0.0379268
428,5000,0.179917,0.0100311
449,5000,0.15078,0.0343693
470,5000,0.167619,0.00771566
493,5000,0.129968,0.00477683
516,5000,0.206975,0.000420545
541,5000,0.101453,0.00585704
566,5000,0.135056,0.0183758
593,5000,0.267816,0.0013021
622,5000,0.332413,0.00962213
651,5000,0.172214,0.0166674
682,5000,0.0439945,0.00338861
715,5000,0.115025,0.00676223
749,5000,0.248744,0.0222491
785,5000,0.0916831,0.0199727
822,5000,0.0698581,0.0111261
861,5000,0.119816,0.00437475
902,5000,0.0826525,0.00772349
945,5000,0.0690784,0.0018632
990,5000,0.151798,0.00420866
1038,5000,0.181307,0.0125701
1087,5000,0.194526,0.00838991
1139,5000,0.0818177,0.0280148
1193,5000,0.0517206,0.00253537
1250,5000,0.0341653,0.00332046
1309,5000,0.154673,0.0258472
1372,5000,0.150093,0.0250829
1437,5000,0.0635748,0.00528676
1505,5000,0.135344,0.00934017
1577,5000,0.125572,0.01521
1652,5000,0.10492,0.000606358
1731,5000,0.08488,0.00106931
1813,5000,0.153978,0.00780554
1900,5000,0.18716,0.00276206
1990,5000,0.0942607,0.00463159
2085,5000,0.0762093,0.00295512
2184,5000,0.0654267,0.000816068
2288,5000,0.0455519,0.0113322
2397,5000,0.058138,0.00233633
2512,5000,0.0531996,0.00676456
2631,5000,0.0788258,0.00443506
2757,5000,0.0909894,0.0191233
2888,5000,0.089833,0.00421561
3025,5000,0.078428,0.0162505
3169,5000,0.174468,0.0168422
3320,5000,0.112406,0.000551858
3478,5000,0.0331406,0.00524434
3644,5000,0.0708924,0.0180878
3818,5000,0.0730367,0.00960155
4000,5000,0.0453497,0.0114445
