n,t,va,prev
40,5000,0.997068,4.20167e-05
41,5000,0.994922,0.00139484
43,5000,0.993081,0.00210616
45,5000,0.995102,0.00302308
48,5000,0.993956,0.00147162
50,5000,0.995036,0.00128469
52,5000,0.994294,0.00446156
55,5000,0.924931,0.0107255
58,5000,0.991581,0.00135463
60,5000,0.989788,0.000431899
63,5000,0.996383,0.00269367
66,5000,0.980459,0.00437458
69,5000,0.976076,0.00383232
73,5000,0.995061,0.00184589
76,5000,0.975003,0.00243155
80,5000,0.98334,0.00105574
84,5000,0.939112,0.0036235
88,5000,0.989544,0.00124082
92,5000,0.976952,7.4031e-05
96,5000,0.986318,0.00111308
101,5000,0.70584,0.00508743
106,5000,0.962426,0.00298719
111,5000,0.941507,0.00263648
116,5000,0.956972,0.00551416
122,5000,0.887751,0.00431827
127,5000,0.282183,0.0150447
134,5000,0.937588,0.00336673
140,5000,0.902607,0.00323982
147,5000,0.895427,0.00158365
154,5000,0.936881,0.00363494
161,5000,0.972136,0.00534995
169,5000,0.954379,0.00088886
177,5000,0.750742,0.0106005
185,5000,0.961045,0.00351076
194,5000,0.880162,0.00104688
203,5000,0.902945,0.00850035
213,5000,0.888482,0.00515312
223,5000,0.591164,0.0293872
234,5000,0.846349,0.00194392
245,5000,0.834262,0.00340232
257,5000,0.855234,0.00489441
269,5000,0.866627,0.000939592
282,5000,0.8957,0.00407264
295,5000,0.934248,0.00517257
309,5000,0.896419,0.000209271
324,5000,0.888476,0.00253561
339,5000,0.908746,0.00490093
356,5000,0.776828,0.00695484
373,5000,0.848104,0.00411764
390,5000,0.862367,0.00253615
409,5000,0.899108,0.000445185
428,5000,0.909682,0.00281715
449,5000,0.864798,0.00259706
470,5000,0.794441,0.00365054
493,5000,0.887412,7.17266e-05
516,5000,0.843854,0.000986565
541,5000,0.862774,0.00383943
566,5000,0.92088,0.000576963
593,5000,0.832083,4.33823e-05
622,5000,0.799196,0.00226996
651,5000,0.892608,0.00167409
682,5000,0.869171,0.00230064
715,5000,0.889784,0.00275958
749,5000,0.848344,0.00639338
785,5000,0.897777,0.000260312
822,5000,0.884856,0.000398404
861,5000,0.907933,0.000395352
902,5000,0.909599,0.00354997
945,5000,0.893677,0.00180841
990,5000,0.900823,0.00247477
1038,5000,0.880506,0.00192268
1087,5000,0.882816,0.00136942
1139,5000,0.892425,1.93139e-05
1193,5000,0.889573,0.00041641
1250,5000,0.900339,0.00125072
1309,5000,0.885307,0.00149383
1372,5000,0.854628,0.00230832
1437,5000,0.920511,0.0025846
1505,5000,0.901356,0.00118512
1577,5000,0.899707,0.000935228
1652,5000,0.914653,0.000940645
1731,5000,0.908266,0.00260171
1813,5000,0.874339,0.00150931
1900,5000,0.914037,0.000671473
1990,5000,0.915121,0.00105715
2085,5000,0.904849,0.00164367
2184,5000,0.869556,0.000723016
2288,5000,0.878059,0.000761631
2397,5000,0.916382,0.00189604
2512,5000,0.882336,0.000278957
2631,5000,0.899858,0.00243944
2757,5000,0.836001,0.000913666
2888,5000,0.89317,0.00172148
3025,5000,0.895043,0.000599969
3169,5000,0.890377,0.000627227
3320,5000,0.90296,0.000512272
3478,5000,0.889911,0.000959087
3644,5000,0.885477,0.0029888
3818,5000,0.878776,0.00168487
4000,5000,0.882147,0.00178715
