n,t,va,prev
40,5000,0.975762,0.00577268
41,5000,0.980271,0.00295317
43,5000,0.987497,0.0109444
45,5000,0.975171,0.00308851
48,5000,0.96047,0.00386614
50,5000,0.98082,0.00131059
52,5000,0.976962,8.49227e-05
55,5000,0.981155,0.00781142
58,5000,0.979369,0.0109577
60,5000,0.974949,0.00800484
63,5000,0.973149,0.00336032
66,5000,0.972887,0.000510852
69,5000,0.975414,0.00129469
73,5000,0.965661,0.00473375
76,5000,0.979368,0.00294135
80,5000,0.980715,0.00662807
84,5000,0.977344,0.0136796
88,5000,0.977048,0.00388546
92,5000,0.979212,0.00402811
96,5000,0.970256,0.00490396
101,5000,0.976574,0.00872927
106,5000,0.961256,0.00240792
111,5000,0.966935,0.00191096
116,5000,0.971053,0.00453755
122,5000,0.973989,0.00966567
127,5000,0.968623,0.00054147
134,5000,0.972182,0.0072177
140,5000,0.971591,0.00138766
147,5000,0.973524,0.00297244
154,5000,0.948795,0.015547
161,5000,0.968341,0.0100295
169,5000,0.970421,0.00711273
177,5000,0.970626,0.00504213
185,5000,0.974747,0.010076
194,5000,0.953855,0.00136705
203,5000,0.966454,0.0017559
213,5000,0.971628,0.00435735
223,5000,0.970818,0.00231229
234,5000,0.960425,0.00782164
245,5000,0.973608,0.00274676
257,5000,0.97563,0.000355027
269,5000,0.970836,0.00561311
282,5000,0.964438,0.000192701
295,5000,0.963591,0.00814408
309,5000,0.959426,0.00617621
324,5000,0.955321,0.00626746
339,5000,0.961765,0.000266294
356,5000,0.966211,0.00328473
373,5000,0.951757,0.00142237
390,5000,0.80469,0.00818355
409,5000,0.770693,0.00274529
428,5000,0.956968,0.00235436
449,5000,0.883368,0.0123042
470,5000,0.562175,0.00683923
493,5000,0.461942,0.00199101
516,5000,0.79632,0.0123664
541,5000,0.848211,0.00501885
566,5000,0.720556,0.00428821
593,5000,0.566553,0.00133675
622,5000,0.794752,0.000546299
651,5000,0.390625,0.0233538
682,5000,0.666816,0.0048987
715,5000,0.0795338,0.00339889
749,5000,0.371459,0.00357839
785,5000,0.728013,0.0202466
822,5000,0.800934,0.00299987
861,5000,0.772167,0.00373202
902,5000,0.421441,0.000208373
945,5000,0.623489,0.00316039
990,5000,0.633717,0.00254129
1038,5000,0.78291,0.0081634
1087,5000,0.692299,0.0174032
1139,5000,0.71883,0.00664901
1193,5000,0.668126,0.000267017
1250,5000,0.694331,0.00296316
1309,5000,0.677956,0.00151048
1372,5000,0.794213,0.00821029
1437,5000,0.809923,0.000499516
1505,5000,0.633256,0.00542894
1577,5000,0.74644,0.00160717
1652,5000,0.740957,0.00285037
1731,5000,0.627685,0.00541836
1813,5000,0.744551,0.00521447
1900,5000,0.783721,0.00519877
1990,5000,0.800402,0.00190613
2085,5000,0.799182,0.000138775
2184,5000,0.781876,0.0125042
2288,5000,0.425925,0.00985185
2397,5000,0.809076,0.00114538
2512,5000,0.746699,0.00123936
2631,5000,0.713382,0.00336855
2757,5000,0.76018,0.00287565
2888,5000,0.744061,0.00584547
3025,5000,0.738582,0.000979052
3169,5000,0.734669,0.00656796
3320,5000,0.80491,0.00196924
3478,5000,0.661731,0.00167269
3644,5000,0.717341,0.0011914
3818,5000,0.77986,0.00175179
4000,5000,0.661751,0.00749975
