n,t,va,prev
40,5000,0.949898,0.0204558
41,5000,0.961587,0.00256149
43,5000,0.956415,0.00520635
45,5000,0.955179,0.0148323
48,5000,0.967204,0.0292944
50,5000,0.957032,0.000545816
52,5000,0.966649,0.0207048
55,5000,0.928506,0.018762
58,5000,0.935464,0.00141447
60,5000,0.943599,0.0121975
63,5000,0.950513,0.00699481
66,5000,0.959475,0.00839972
69,5000,0.92808,0.00167728
73,5000,0.937819,0.00411768
76,5000,0.947553,0.0106972
80,5000,0.955359,0.00673392
84,5000,0.965662,0.00413839
88,5000,0.957041,0.000683226
92,5000,0.951887,0.000286084
96,5000,0.945227,0.0215698
101,5000,0.921824,0.0145359
106,5000,0.932279,0.000126436
111,5000,0.958156,0.0133355
116,5000,0.959364,0.00444713
122,5000,0.937266,0.00355935
127,5000,0.944365,0.00119289
134,5000,0.93505,0.00527084
140,5000,0.939353,0.00393297
147,5000,0.950378,0.00109955
154,5000,0.946651,0.00511335
161,5000,0.905217,0.0232692
169,5000,0.934481,0.0010291
177,5000,0.908157,0.000432812
185,5000,0.916723,0.0197288
194,5000,0.946591,0.00186734
203,5000,0.942163,0.00631177
213,5000,0.948533,0.0127882
223,5000,0.936758,0.00556981
234,5000,0.961268,0.0137203
245,5000,0.925442,0.00964051
257,5000,0.90594,0.00354556
269,5000,0.91823,0.000651375
282,5000,0.59512,0.00410831
295,5000,0.867683,0.0108799
309,5000,0.604476,0.00651173
324,5000,0.752748,0.0294197
339,5000,0.812023,0.00417025
356,5000,0.738566,0.026198
373,5000,0.705952,0.0167491
390,5000,0.492287,0.00505411
409,5000,0.0479131,0.0175371
428,5000,0.514568,0.0100606
449,5000,0.468813,0.0130468
470,5000,0.388424,0.00860227
493,5000,0.449195,0.0156871
516,5000,0.47287,0.0317625
541,5000,0.419534,0.00626441
566,5000,0.645985,0.0136692
593,5000,0.167992,0.00534328
622,5000,0.217311,0.0400874
651,5000,0.50425,0.0055688
682,5000,0.300332,0.00411618
715,5000,0.556928,0.00275996
749,5000,0.386865,0.00956324
785,5000,0.461148,0.00270419
822,5000,0.168607,0.0217565
861,5000,0.30527,0.0110323
902,5000,0.369688,0.0196478
945,5000,0.625401,0.00671836
990,5000,0.440891,0.000753126
1038,5000,0.345402,0.0152481
1087,5000,0.365361,0.00240213
1139,5000,0.336669,0.009505
1193,5000,0.53702,0.00094184
1250,5000,0.436633,0.00178009
1309,5000,0.511375,0.00378853
1372,5000,0.50768,0.0077794
1437,5000,0.138871,0.0104199
1505,5000,0.686787,0.0143501
1577,5000,0.257977,0.00196976
1652,5000,0.337775,0.00514292
1731,5000,0.334111,0.00143197
1813,5000,0.432907,0.00713852
1900,5000,0.514049,0.000389395
1990,5000,0.18197,0.00643503
2085,5000,0.285327,0.00799982
2184,5000,0.322178,0.0097447
2288,5000,0.31653,0.00130585
2397,5000,0.0670746,0.00736118
2512,5000,0.461518,0.00996615
2631,5000,0.375904,0.00635668
2757,5000,0.327167,0.00795663
2888,5000,0.193727,0.0127143
3025,5000,0.113545,0.00367655
3169,5000,0.29199,0.00834562
3320,5000,0.392426,0.00143329
3478,5000,0.486271,0.00415322
3644,5000,0.215669,0.001345
3818,5000,0.30325,0.00173944
4000,5000,0.243561,0.00178975
