n,t,va,prev
40,5000,0.99126,0.000312638
41,5000,0.985789,0.0042496
43,5000,0.992341,0.00542972
45,5000,0.989261,0.000427692
48,5000,0.986072,0.00312389
50,5000,0.990889,0.00186237
52,5000,0.991898,0.00380579
55,5000,0.988694,0.00276298
58,5000,0.992235,0.00442502
60,5000,0.988675,0.00144022
63,5000,0.987226,0.000650605
66,5000,0.987748,0.00210852
69,5000,0.993143,0.00169771
73,5000,0.978652,0.00324917
76,5000,0.990144,0.00166678
80,5000,0.993386,0.00300981
84,5000,0.991388,0.00394352
88,5000,0.986404,0.00183718
92,5000,0.985234,0.000280575
96,5000,0.985698,0.002861
101,5000,0.988902,0.00312704
106,5000,0.985329,0.00159388
111,5000,0.98671,0.000750228
116,5000,0.9886,0.0039157
122,5000,0.987946,0.0004768
127,5000,0.988163,0.00128807
134,5000,0.987798,0.00655346
140,5000,0.98403,0.00038582
147,5000,0.987466,7.11703e-05
154,5000,0.978745,0.000246284
161,5000,0.985749,0.000330778
169,5000,0.984231,0.0019456
177,5000,0.986041,0.00371182
185,5000,0.984284,0.00101162
194,5000,0.979482,0.00327665
203,5000,0.983523,0.000926953
213,5000,0.982856,0.000252366
223,5000,0.98551,0.000954033
234,5000,0.984455,0.000244056
245,5000,0.98287,0.00219446
257,5000,0.985212,0.000423746
269,5000,0.986541,0.000931888
282,5000,0.982572,0.00159259
295,5000,0.980207,0.00110901
309,5000,0.983028,0.00206965
324,5000,0.978167,0.00120615
339,5000,0.974345,0.00365447
356,5000,0.98157,0.000312702
373,5000,0.978282,0.0028484
390,5000,0.879862,0.00472989
409,5000,0.971868,0.00356112
428,5000,0.972911,0.00106611
449,5000,0.977973,0.00343111
470,5000,0.622337,0.0131034
493,5000,0.905556,0.00672085
516,5000,0.866449,0.000655615
541,5000,0.761954,0.00879629
566,5000,0.884425,0.00748118
593,5000,0.723988,0.00060697
622,5000,0.83535,0.00145858
651,5000,0.924999,0.00183416
682,5000,0.865754,0.00355913
715,5000,0.814112,0.00517251
749,5000,0.772985,0.0120966
785,5000,0.827425,0.00286325
822,5000,0.886359,0.0094794
861,5000,0.834576,0.00100594
902,5000,0.865265,0.0100523
945,5000,0.891768,0.000686693
990,5000,0.77066,0.00453578
1038,5000,0.803439,0.000545359
1087,5000,0.810321,0.00233756
1139,5000,0.896426,0.00769707
1193,5000,0.89315,0.00188988
1250,5000,0.789572,0.0104648
1309,5000,0.77124,0.00524193
1372,5000,0.907076,0.00408704
1437,5000,0.85526,0.000417015
1505,5000,0.911395,0.00602199
1577,5000,0.877921,0.000994052
1652,5000,0.823605,0.004102
1731,5000,0.910831,0.000680868
1813,5000,0.900068,0.00190463
1900,5000,0.923077,0.00481484
1990,5000,0.897506,0.000211699
2085,5000,0.918335,0.000542038
2184,5000,0.852975,0.0023389
2288,5000,0.839476,0.00101758
2397,5000,0.861695,0.000501273
2512,5000,0.854423,0.00577726
2631,5000,0.846765,0.00455528
2757,5000,0.904798,0.00236181
2888,5000,0.862653,0.000919399
3025,5000,0.850155,2.54263e-06
3169,5000,0.826586,0.00637544
3320,5000,0.857182,0.0025452
3478,5000,0.856751,0.001344
3644,5000,0.818617,0.00015185
3818,5000,0.836392,0.00198191
4000,5000,0.909411,0.000644254
