n,t,va,prev
40,5000,0.844519,0.043746
41,5000,0.784468,0.00798636
43,5000,0.859583,0.0826459
45,5000,0.805801,0.0580921
48,5000,0.778567,0.0349552
50,5000,0.801539,0.0147522
52,5000,0.803452,0.0333371
55,5000,0.782177,0.074939
58,5000,0.550834,0.0633407
60,5000,0.809578,0.00924299
63,5000,0.80023,0.0371161
66,5000,0.756425,0.00979571
69,5000,0.807314,0.0396193
73,5000,0.843687,0.00292512
76,5000,0.758032,0.0535277
80,5000,0.840585,0.0235987
84,5000,0.807765,0.0603103
88,5000,0.810344,0.0647155
92,5000,0.754223,0.0619315
96,5000,0.634891,0.0341936
101,5000,0.756709,0.037053
106,5000,0.776264,0.00193147
111,5000,0.794695,0.0638089
116,5000,0.817016,0.0079135
122,5000,0.73211,0.0387874
127,5000,0.797239,0.000256087
134,5000,0.785351,0.0238533
140,5000,0.581049,0.107832
147,5000,0.781263,0.0448105
154,5000,0.421099,0.0199433
161,5000,0.309508,0.0983861
169,5000,0.456853,0.0190344
177,5000,0.488472,0.00478857
185,5000,0.73039,0.0441592
194,5000,0.451025,0.00753316
203,5000,0.0692505,0.0255841
213,5000,0.589474,0.0329891
223,5000,0.632756,0.0262268
234,5000,0.403692,0.0220926
245,5000,0.485984,0.0386267
257,5000,0.477255,0.0239533
269,5000,0.393749,0.0145045
282,5000,0.670007,0.00987452
295,5000,0.429312,0.00564287
309,5000,0.321964,0.030231
324,5000,0.265278,0.0644675
339,5000,0.169969,0.0372244
356,5000,0.512191,0.0301032
373,5000,0.417227,0.000193801
390,5000,0.384533,0.048817
409,5000,0.47303,0.0178199
428,5000,0.242347,0.0133627
449,5000,0.210353,0.041305
470,5000,0.201333,0.00971672
493,5000,0.166835,0.0251712
516,5000,0.165976,0.013299
541,5000,0.194054,0.0320135
566,5000,0.295372,0.0012735
593,5000,0.349114,0.0228083
622,5000,0.223625,0.00644099
651,5000,0.167681,0.0521964
682,5000,0.256241,0.00481878
715,5000,0.07138,0.015666
749,5000,0.148852,0.0342097
785,5000,0.22447,0.0673475
822,5000,0.20602,0.000651806
861,5000,0.0973836,0.0505178
902,5000,0.16889,0.0351183
945,5000,0.245492,0.00350201
990,5000,0.170136,0.00929762
1038,5000,0.193179,0.0281672
1087,5000,0.247874,0.00458233
1139,5000,0.167939,0.0112641
1193,5000,0.264305,0.000920031
1250,5000,0.203466,0.0325911
1309,5000,0.107305,0.0187387
1372,5000,0.216863,0.0332222
1437,5000,0.243998,0.00769253
1505,5000,0.0474886,0.00373637
1577,5000,0.207789,0.00428179
1652,5000,0.0254628,0.0123931
1731,5000,0.112457,0.00520476
1813,5000,0.111362,0.0171116
1900,5000,0.133964,0.000484055
1990,5000,0.151775,0.0229149
2085,5000,0.0594243,0.00301772
2184,5000,0.0646703,0.0191481
2288,5000,0.174232,0.0487644
2397,5000,0.033315,0.0105069
2512,5000,0.195797,0.014695
2631,5000,0.0478372,0.0117908
2757,5000,0.0620724,0.00129078
2888,5000,0.049804,0.00734932
3025,5000,0.113019,0.0252696
3169,5000,0.0481313,0.0141696
3320,5000,0.0542794,0.00554386
3478,5000,0.15347,0.00949828
3644,5000,0.0710071,0.00574727
3818,5000,0.0829916,0.00181621
4000,5000,0.0763196,0.0188318
