n,t,va,prev
40,5000,0.999631,2.70213e-05
41,5000,0.999555,8.38516e-05
43,5000,0.999621,0.000154604
45,5000,0.999647,6.26273e-05
48,5000,0.999535,1.2331e-05
50,5000,0.999375,0.000213972
52,5000,0.999759,0.000290117
55,5000,0.999616,6.99332e-05
58,5000,0.99972,0.000194437
60,5000,0.999701,4.4504e-05
63,1594,0.999553,4.14657e-07
66,5000,0.999457,0.000108218
69,5000,0.999412,0.000275765
73,5000,0.999494,0.000117537
76,4452,0.999591,9.16493e-07
80,5000,0.999613,1.23954e-05
84,5000,0.999448,2.76548e-06
88,5000,0.999627,0.000108431
92,5000,0.999516,0.000185344
96,5000,0.999167,7.16465e-05
101,4392,0.999556,1.55069e-06
106,5000,0.999234,0.000256577
111,5000,0.999579,0.000101022
116,5000,0.999548,1.35733e-05
122,5000,0.999332,3.92946e-06
127,3992,0.999592,6.32886e-07
134,5000,0.999478,7.68186e-05
140,5000,0.999499,4.44716e-05
147,5000,0.999466,3.20797e-05
154,5000,0.999514,6.47934e-05
161,5000,0.999489,2.67119e-06
169,1340,0.99953,1.23505e-06
177,5000,0.99942,0.000129756
185,5000,0.999263,0.000130499
194,5000,0.999535,9.72308e-05
203,5000,0.999337,9.49053e-05
213,5000,0.999453,8.3622e-06
223,341,0.999518,5.92859e-07
234,5000,0.999617,0.000104865
245,5000,0.999419,1.13883e-05
257,5000,0.999519,0.000117025
269,820,0.999507,1.66485e-06
282,2631,0.999435,9.94517e-07
295,5000,0.999396,1.77895e-05
309,1226,0.999406,3.35431e-07
324,180,0.999402,7.02795e-07
339,1988,0.999485,5.90522e-07
356,2002,0.999463,3.71944e-07
373,5000,0.999458,6.88852e-05
390,1048,0.999287,5.46175e-07
409,5000,0.999275,2.07192e-05
428,222,0.99909,1.43425e-06
449,4385,0.999273,1.35299e-06
470,5000,0.999086,0.000139352
493,1034,0.999316,5.75762e-08
516,2102,0.999361,8.5572e-07
541,5000,0.998564,0.000141927
566,3229,0.99933,1.24339e-06
593,5000,0.997765,0.000147553
622,5000,0.99733,0.000266029
651,5000,0.994376,0.000117157
682,5000,0.995734,0.000320522
715,4562,0.995026,6.77169e-07
749,5000,0.997127,2.57403e-06
785,5000,0.997583,0.000122749
822,5000,0.990047,0.000483741
861,4102,0.995975,5.87015e-07
902,5000,0.982495,0.000590924
945,5000,0.995551,0.000162214
990,5000,0.99708,0.000133369
1038,5000,0.980707,0.000610546
1087,5000,0.996008,4.95358e-05
1139,5000,0.990872,3.68865e-05
1193,5000,0.992233,6.7547e-05
1250,5000,0.990525,6.92186e-05
1309,5000,0.984648,0.000387396
1372,5000,0.99195,5.3133e-06
1437,5000,0.99371,0.000249083
1505,5000,0.993033,2.07846e-05
1577,5000,0.993744,3.9612e-05
1652,4659,0.994214,1.14269e-06
1731,5000,0.996505,9.31861e-05
1813,5000,0.992449,6.38694e-05
1900,5000,0.986408,0.000119969
1990,5000,0.98328,0.000211327
2085,5000,0.994492,7.23384e-05
2184,2798,0.997002,1.0937e-06
2288,5000,0.991832,0.000184683
2397,5000,0.994788,6.80692e-05
2512,5000,0.993174,0.000106749
2631,5000,0.994302,7.40305e-05
2757,5000,0.994749,0.000170681
2888,5000,0.994049,3.62361e-05
3025,5000,0.993027,0.000101977
3169,5000,0.994216,0.000276447
3320,5000,0.993864,0.000102805
3478,5000,0.994112,8.23183e-05
3644,5000,0.987376,0.000190081
3818,5000,0.993177,4.75586e-05
4000,5000,0.993881,0.000228711
