n,t,va,prev
40,5000,0.985163,0.00898338
41,5000,0.996022,0.00895513
43,5000,0.989251,0.00216351
45,5000,0.984142,0.00655205
48,5000,0.987396,0.00290035
50,5000,0.9836,0.00383753
52,5000,0.99085,0.00177444
55,5000,0.989066,0.00108552
58,5000,0.982341,0.00587793
60,5000,0.986481,0.00416159
63,5000,0.987354,0.00384864
66,5000,0.986336,0.00376851
69,5000,0.987036,0.00319913
73,5000,0.987297,0.00117685
76,5000,0.988689,0.00198977
80,5000,0.98908,0.000588985
84,5000,0.9813,0.00178305
88,5000,0.992855,0.00573931
92,5000,0.98744,0.00231798
96,5000,0.982736,0.00399855
101,5000,0.96977,0.00337413
106,5000,0.973194,0.00190798
111,5000,0.988307,0.00166637
116,5000,0.986829,0.00223193
122,5000,0.986814,0.00141647
127,5000,0.97726,0.000773634
134,5000,0.979773,0.000153064
140,5000,0.981943,0.00674752
147,5000,0.973364,0.00653126
154,5000,0.977689,0.00254548
161,5000,0.983609,0.000939645
169,5000,0.985805,0.000292232
177,5000,0.98481,0.00104362
185,5000,0.977803,0.00445075
194,5000,0.985235,0.00306055
203,5000,0.971369,0.00284416
213,5000,0.982947,0.000542847
223,5000,0.909622,0.00711226
234,5000,0.923121,0.00920564
245,5000,0.954137,0.000884603
257,5000,0.966481,0.00595851
269,5000,0.852323,0.00585927
282,5000,0.853667,0.0024671
295,5000,0.910088,0.0119483
309,5000,0.863789,0.00923129
324,5000,0.920951,0.0144688
339,5000,0.753403,0.00146411
356,5000,0.859806,0.00135935
373,5000,0.825086,0.0157137
390,5000,0.741749,0.00461774
409,5000,0.585116,0.000784197
428,5000,0.804754,0.00154552
449,5000,0.796308,0.0064715
470,5000,0.772467,0.0133316
493,5000,0.777847,0.00800003
516,5000,0.833636,0.00249568
541,5000,0.789945,0.00765428
566,5000,0.749913,0.00987504
593,5000,0.830277,0.002465
622,5000,0.71862,0.00186644
651,5000,0.668781,0.00754379
682,5000,0.897118,0.00210319
715,5000,0.862802,0.00420196
749,5000,0.900458,0.0017269
785,5000,0.632681,0.00389816
822,5000,0.836712,0.00534664
861,5000,0.670795,1.01937e-05
902,5000,0.757198,0.00322504
945,5000,0.660077,0.0015417
990,5000,0.795883,0.00364088
1038,5000,0.842788,0.00271578
1087,5000,0.856453,0.00187292
1139,5000,0.852839,0.00128824
1193,5000,0.723679,0.00482216
1250,5000,0.845437,0.00500637
1309,5000,0.782792,0.0046084
1372,5000,0.785335,0.00468223
1437,5000,0.790958,0.00209755
1505,5000,0.827938,0.000812366
1577,5000,0.8316,0.000578994
1652,5000,0.675382,0.000376
1731,5000,0.842896,0.00284262
1813,5000,0.864526,0.00202
1900,5000,0.78351,0.00215916
1990,5000,0.882162,0.000725403
2085,5000,0.860055,0.00320308
2184,5000,0.878545,0.00206196
2288,5000,0.840897,0.0015069
2397,5000,0.891654,0.00129704
2512,5000,0.8771,0.00279072
2631,5000,0.822462,0.000514064
2757,5000,0.878197,0.0013259
2888,5000,0.845382,0.00120592
3025,5000,0.87611,0.00120457
3169,5000,0.853178,0.00143187
3320,5000,0.787301,0.00068615
3478,5000,0.865664,0.00130022
3644,5000,0.873716,0.00139224
3818,5000,0.837462,0.00561294
4000,5000,0.907117,0.00416374
