n,t,va,prev
40,5000,0.972703,0.0146276
41,5000,0.97976,0.00285433
43,5000,0.980856,0.00996049
45,5000,0.898684,0.00468595
48,5000,0.959748,0.0125347
50,5000,0.964755,0.0111861
52,5000,0.919176,0.0161566
55,5000,0.976489,0.0120892
58,5000,0.977169,0.0027613
60,5000,0.96726,0.0115604
63,5000,0.96435,0.00541638
66,5000,0.964404,0.0207492
69,5000,0.936435,0.00391735
73,5000,0.969809,0.00430975
76,5000,0.950031,0.00581274
80,5000,0.940772,0.0130798
84,5000,0.944031,0.00283433
88,5000,0.955922,0.0157047
92,5000,0.947151,0.00481658
96,5000,0.8934,0.0178346
101,5000,0.873078,0.0060688
106,5000,0.523119,0.00347587
111,5000,0.830955,0.0476556
116,5000,0.860682,0.0167068
122,5000,0.934339,0.00331208
127,5000,0.689212,0.0157341
134,5000,0.888829,0.0034005
140,5000,0.821583,0.0197227
147,5000,0.866322,0.0109157
154,5000,0.434036,0.0350019
161,5000,0.609684,0.0161498
169,5000,0.463815,0.00870833
177,5000,0.659044,0.0126644
185,5000,0.454968,0.000255134
194,5000,0.483937,0.0174301
203,5000,0.463864,0.00955963
213,5000,0.469637,0.0121208
223,5000,0.511527,0.00510117
234,5000,0.498226,0.0235047
245,5000,0.393817,0.0217071
257,5000,0.46368,0.0134936
269,5000,0.28004,0.0113015
282,5000,0.465897,0.00384627
295,5000,0.229354,0.000586136
309,5000,0.697206,0.0133016
324,5000,0.214778,0.00976014
339,5000,0.64754,0.00372288
356,5000,0.239427,0.00196589
373,5000,0.313524,0.00199134
390,5000,0.626254,0.0134429
409,5000,0.123665,0.00028068
428,5000,0.640815,7.78754e-05
449,5000,0.562169,0.00833314
470,5000,0.616308,0.00348963
493,5000,0.61597,0.00380296
516,5000,0.32011,0.0205393
541,5000,0.216149,0.00196244
566,5000,0.362238,0.0264489
593,5000,0.171126,0.000679987
622,5000,0.598789,0.00196018
651,5000,0.211492,0.0145862
682,5000,0.442533,0.00434655
715,5000,0.459516,0.00892774
749,5000,0.623743,0.00435891
785,5000,0.257758,0.00758009
822,5000,0.471978,0.00318403
861,5000,0.183015,0.00377162
902,5000,0.256371,0.00723267
945,5000,0.484946,0.00431223
990,5000,0.556141,0.0186472
1038,5000,0.426099,0.0139168
1087,5000,0.140584,0.00477618
1139,5000,0.27903,0.0147835
1193,5000,0.311117,0.000802532
1250,5000,0.245534,0.0141392
1309,5000,0.0807955,0.0143948
1372,5000,0.352268,0.00224889
1437,5000,0.43758,0.00455116
1505,5000,0.251013,0.00438894
1577,5000,0.396578,0.00431233
1652,5000,0.405762,0.00554121
1731,5000,0.108069,0.00130895
1813,5000,0.298506,0.00758202
1900,5000,0.38961,0.0122551
1990,5000,0.385785,0.00142712
2085,5000,0.421089,0.00453724
2184,5000,0.323979,0.00432419
2288,5000,0.162728,0.00143105
2397,5000,0.356804,0.00368978
2512,5000,0.492729,0.00516781
2631,5000,0.431828,0.00867885
2757,5000,0.181599,0.00729692
2888,5000,0.306122,0.00468878
3025,5000,0.448879,1.2109e-05
3169,5000,0.16381,6.49571e-05
3320,5000,0.171135,0.00503531
3478,5000,0.202388,0.00451674
3644,5000,0.275936,0.00424225
3818,5000,0.100354,0.00255141
4000,5000,0.546867,0.0021332
