n,t,va,prev
40,5000,0.904091,0.0226807
41,5000,0.891083,0.025801
43,5000,0.953405,0.0265685
45,5000,0.75055,0.0287307
48,5000,0.570715,0.0259002
50,5000,0.940923,0.000987397
52,5000,0.660296,0.0410502
55,5000,0.37529,0.0512339
58,5000,0.835432,0.0140938
60,5000,0.582146,0.0126678
63,5000,0.629083,0.00112783
66,5000,0.78007,0.00817379
69,5000,0.42428,0.0394375
73,5000,0.825405,0.0384086
76,5000,0.370832,0.0623618
80,5000,0.590764,0.00859946
84,5000,0.466301,0.00971543
88,5000,0.594897,0.00690498
92,5000,0.212687,0.0195421
96,5000,0.374748,0.0420435
101,5000,0.504194,0.0217477
106,5000,0.580579,0.0281049
111,5000,0.380767,0.0182623
116,5000,0.333176,0.0720985
122,5000,0.252302,0.009681
127,5000,0.408097,0.0243276
134,5000,0.395602,0.0445912
140,5000,0.234009,0.0142276
147,5000,0.465753,0.0295251
154,5000,0.417445,0.00938824
161,5000,0.258305,0.0160255
169,5000,0.189875,0.0136295
177,5000,0.258431,0.0038139
185,5000,0.376213,0.00744696
194,5000,0.286337,0.0494223
203,5000,0.454239,0.0100832
213,5000,0.128572,0.0240182
223,5000,0.541749,0.010185
234,5000,0.270043,0.0453708
245,5000,0.465355,0.055305
257,5000,0.113276,0.0247039
269,5000,0.0807913,0.0131094
282,5000,0.403526,0.0373585
295,5000,0.318339,0.00603861
309,5000,0.536086,0.000696683
324,5000,0.271108,0.0215867
339,5000,0.279038,0.0126237
356,5000,0.319913,0.0191916
373,5000,0.187096,0.01287
390,5000,0.325524,0.0299079
409,5000,0.341309,0.010166
428,5000,0.154889,0.000640263
449,5000,0.238798,0.0101123
470,5000,0.122716,0.0033993
493,5000,0.402243,0.0195167
516,5000,0.304576,0.00335327
541,5000,0.136354,0.00615745
566,5000,0.308862,0.015969
593,5000,0.0608859,0.0264274
622,5000,0.13925,0.00764172
651,5000,0.0775501,0.00194641
682,5000,0.120604,0.00861062
715,5000,0.295719,0.0011092
749,5000,0.0742782,0.0122489
785,5000,0.210033,0.00568254
822,5000,0.145238,0.01338
861,5000,0.210486,0.00230918
902,5000,0.192686,0.000394857
945,5000,0.147809,0.0160637
990,5000,0.162116,0.0131369
1038,5000,0.0512808,0.00604204
1087,5000,0.217351,0.000841771
1139,5000,0.049531,0.0233903
1193,5000,0.16573,0.00192921
1250,5000,0.163403,0.00593132
1309,5000,0.0274463,0.0140665
1372,5000,0.204476,0.0137956
1437,5000,0.171348,0.00609835
1505,5000,0.13013,0.0153013
1577,5000,0.136875,0.00277286
1652,5000,0.12011,0.00856326
1731,5000,0.103601,0.0103313
1813,5000,0.0939806,0.000966254
1900,5000,0.188469,0.00103502
1990,5000,0.102127,0.00856165
2085,5000,0.285172,0.00572683
2184,5000,0.12957,0.00242194
2288,5000,0.0955303,0.00835387
2397,5000,0.0647289,0.00299119
2512,5000,0.164955,0.0020397
2631,5000,0.108683,0.0135935
2757,5000,0.184129,0.000555703
2888,5000,0.155095,0.00549836
3025,5000,0.0561123,0.0094308
3169,5000,0.0653573,0.00255927
3320,5000,0.0978274,0.00130755
3478,5000,0.083753,0.0106344
3644,5000,0.0309078,0.00763179
3818,5000,0.0743714,0.00378043
4000,5000,0.116247,0.00140198
