n,t,va,prev
40,5000,0.999288,4.28335e-05
41,4284,0.99955,3.66123e-07
43,5000,0.999311,0.000150169
45,5000,0.999604,6.3854e-05
48,5000,0.999505,0.000127145
50,5000,0.999666,0.00013847
52,5000,0.999756,0.000367153
55,5000,0.999676,0.000139837
58,5000,0.999367,0.00022085
60,5000,0.999084,0.000103872
63,5000,0.999102,6.89492e-06
66,5000,0.999462,0.000171939
69,4637,0.999402,1.34736e-06
73,5000,0.999437,0.000211361
76,5000,0.999427,0.000103737
80,1732,0.999485,1.39802e-06
84,5000,0.999616,3.71182e-05
88,5000,0.999381,0.000153287
92,5000,0.99928,0.000165026
96,5000,0.999029,0.000233443
101,5000,0.999552,2.74885e-05
106,5000,0.999569,9.73508e-05
111,5000,0.999375,3.94365e-05
116,5000,0.99932,0.000218978
122,5000,0.99889,2.3781e-05
127,5000,0.999438,6.8624e-05
134,3308,0.999083,3.04308e-07
140,5000,0.999335,7.71901e-05
147,5000,0.99916,7.1436e-05
154,5000,0.998877,0.0001782
161,5000,0.999077,8.39413e-05
169,5000,0.998602,0.000314079
177,5000,0.998837,0.000123047
185,150,0.999293,6.22492e-07
194,5000,0.999271,9.70067e-05
203,5000,0.998872,5.27589e-05
213,5000,0.998771,7.22778e-05
223,5000,0.998421,0.000112719
234,5000,0.99916,9.98059e-05
245,5000,0.998795,1.31218e-06
257,5000,0.998882,4.27519e-05
269,5000,0.998968,4.55231e-05
282,5000,0.997604,0.000245069
295,5000,0.99873,7.07685e-05
309,5000,0.996932,9.29914e-06
324,5000,0.997352,7.77247e-05
339,5000,0.985456,0.000815362
356,5000,0.996688,0.000298003
373,5000,0.997583,0.000221672
390,5000,0.97216,0.00011134
409,5000,0.993533,0.000299159
428,5000,0.990515,0.000267664
449,5000,0.992121,7.77783e-05
470,3658,0.995948,4.09103e-07
493,5000,0.995483,8.43353e-05
516,5000,0.995753,0.000385384
541,5000,0.983877,0.000333381
566,5000,0.99214,0.000137679
593,5000,0.993154,0.000640327
622,5000,0.980796,0.00045421
651,5000,0.994013,0.000186404
682,5000,0.988685,0.000229494
715,5000,0.990408,0.000137826
749,5000,0.989032,0.000138434
785,5000,0.988717,0.000195034
822,5000,0.993616,0.000124753
861,5000,0.99012,0.000107462
902,5000,0.985034,5.29763e-05
945,5000,0.99185,0.000200513
990,5000,0.993194,5.23513e-05
1038,5000,0.987793,0.00029773
1087,5000,0.98979,2.1685e-05
1139,5000,0.9933,0.000107285
1193,5000,0.989467,0.000155
1250,5000,0.985584,0.000248992
1309,5000,0.991827,0.000108794
1372,5000,0.978856,6.0805e-05
1437,5000,0.987772,0.00042198
1505,5000,0.992165,4.64308e-05
1577,5000,0.98816,7.13813e-05
1652,5000,0.988221,4.17206e-05
1731,1889,0.988208,8.92092e-07
1813,5000,0.990736,0.000103145
1900,5000,0.992681,0.000222015
1990,5000,0.986166,0.000156011
2085,5000,0.989038,5.81505e-05
2184,5000,0.991255,1.95923e-05
2288,5000,0.99159,8.83283e-05
2397,5000,0.986935,0.000130063
2512,5000,0.987563,0.00019451
2631,5000,0.986312,6.2095e-06
2757,5000,0.989733,7.71201e-05
2888,5000,0.989701,0.000262767
3025,5000,0.985914,4.5571e-05
3169,5000,0.988467,0.000148729
3320,5000,0.986092,0.000391006
3478,5000,0.984168,0.000183538
3644,5000,0.983922,0.000124802
3818,5000,0.991359,0.000221795
4000,5000,0.974345,0.000491853
