n,t,va,prev
40,5000,0.9777,0.00642162
41,5000,0.980792,0.00336296
43,5000,0.979935,0.000503484
45,5000,0.985831,0.0128117
48,5000,0.959101,0.0186296
50,5000,0.966992,0.0127605
52,5000,0.970531,0.00367618
55,5000,0.975047,0.000426243
58,5000,0.973544,0.000628445
60,5000,0.952187,0.0178747
63,5000,0.975388,0.00588774
66,5000,0.981569,0.0108924
69,5000,0.946965,0.00183167
73,5000,0.968197,0.0025122
76,5000,0.974232,0.00501987
80,5000,0.973004,0.0015115
84,5000,0.960602,0.00705419
88,5000,0.968047,0.00175734
92,5000,0.979403,0.00478459
96,5000,0.967661,0.00842477
101,5000,0.971406,0.0112058
106,5000,0.96876,0.000939078
111,5000,0.948714,0.00526759
116,5000,0.97594,0.0025977
122,5000,0.974498,0.00154756
127,5000,0.968752,0.00259002
134,5000,0.95914,0.0104033
140,5000,0.964906,0.00703902
147,5000,0.973904,0.00516415
154,5000,0.953245,0.00493466
161,5000,0.95673,0.00708724
169,5000,0.967016,0.00542692
177,5000,0.968325,0.00297737
185,5000,0.968536,0.00234588
194,5000,0.968547,0.00164943
203,5000,0.959951,0.00645634
213,5000,0.967735,0.000789598
223,5000,0.954749,0.00248716
234,5000,0.899534,0.0183992
245,5000,0.954217,0.00931237
257,5000,0.967196,0.000168023
269,5000,0.939074,0.000693877
282,5000,0.96608,0.000690364
295,5000,0.96728,0.00414143
309,5000,0.951959,0.00131094
324,5000,0.966231,0.00267497
339,5000,0.945594,0.00193735
356,5000,0.863489,0.0102461
373,5000,0.947887,0.00775412
390,5000,0.897271,0.00312629
409,5000,0.466106,0.0141517
428,5000,0.579649,0.00799323
449,5000,0.508747,0.0080338
470,5000,0.882166,0.0103344
493,5000,0.63879,0.0139544
516,5000,0.667112,0.00302393
541,5000,0.532192,0.0175801
566,5000,0.509905,0.0142441
593,5000,0.723321,0.0195401
622,5000,0.738954,0.0102297
651,5000,0.603348,0.002388
682,5000,0.602481,0.0153345
715,5000,0.629922,0.00564272
749,5000,0.631631,0.0108746
785,5000,0.704286,0.0130972
822,5000,0.693178,0.0083089
861,5000,0.636433,0.0113753
902,5000,0.608165,0.00664559
945,5000,0.509596,0.00500656
990,5000,0.692327,0.00116912
1038,5000,0.414938,0.0082094
1087,5000,0.503625,0.00810368
1139,5000,0.600901,0.00336175
1193,5000,0.135277,0.00156667
1250,5000,0.0610509,0.0177982
1309,5000,0.810455,0.00485444
1372,5000,0.470769,0.0052995
1437,5000,0.655164,0.011652
1505,5000,0.722022,0.00884141
1577,5000,0.801399,0.00493381
1652,5000,0.315471,0.00178887
1731,5000,0.664616,0.016656
1813,5000,0.624926,0.0072354
1900,5000,0.669989,0.0081262
1990,5000,0.612898,0.00595759
2085,5000,0.746544,0.000168159
2184,5000,0.848453,0.00398617
2288,5000,0.80891,0.00198456
2397,5000,0.731429,0.00145662
2512,5000,0.701899,0.00190006
2631,5000,0.736836,0.00518419
2757,5000,0.639785,0.00145551
2888,5000,0.783721,0.00138821
3025,5000,0.778646,0.00219281
3169,5000,0.702273,0.00436576
3320,5000,0.764275,0.00784921
3478,5000,0.725216,0.00173406
3644,5000,0.777497,0.00423032
3818,5000,0.820787,0.000741878
4000,5000,0.735814,0.00510785
