n,t,va,prev
40,5000,0.989602,0.000236972
41,5000,0.987921,0.00214434
43,5000,0.991981,0.00283972
45,5000,0.990054,0.00247362
48,5000,0.989925,0.000204342
50,5000,0.992556,0.00493896
52,5000,0.994485,0.0015638
55,5000,0.990798,0.00274947
58,5000,0.988819,0.00413284
60,5000,0.988388,0.00251811
63,5000,0.989528,0.00109022
66,5000,0.988406,0.000626252
69,5000,0.992582,0.00297772
73,5000,0.990876,0.00911813
76,5000,0.985018,0.000444296
80,5000,0.987101,0.0017236
84,5000,0.993096,0.00124016
88,5000,0.988457,0.00187809
92,5000,0.988882,0.00128894
96,5000,0.989208,0.00120972
101,5000,0.9883,0.000794795
106,5000,0.980369,0.00415204
111,5000,0.989013,0.000545066
116,5000,0.990257,0.00261517
122,5000,0.987518,0.00229893
127,5000,0.98816,0.000556653
134,5000,0.98515,0.00194298
140,5000,0.98778,0.000457482
147,5000,0.990383,0.00141964
154,5000,0.987755,0.000151645
161,5000,0.989384,0.00171241
169,5000,0.984724,0.00207483
177,5000,0.987555,7.5173e-06
185,5000,0.982908,0.00171521
194,5000,0.988091,0.000583785
203,5000,0.989346,0.0025084
213,5000,0.987394,0.00239645
223,5000,0.988726,0.000330328
234,5000,0.984338,0.00221819
245,5000,0.986401,0.00165573
257,5000,0.981962,0.000834029
269,5000,0.984417,0.000660954
282,5000,0.981293,0.00153997
295,5000,0.983534,0.00131297
309,5000,0.987979,0.00100374
324,5000,0.984234,0.000255636
339,5000,0.987775,0.000355163
356,5000,0.982898,0.00069876
373,5000,0.981825,0.00213711
390,5000,0.984148,0.00191383
409,5000,0.983476,0.000340958
428,5000,0.986075,0.00134061
449,5000,0.951394,0.00128617
470,5000,0.959058,0.00017951
493,5000,0.75983,0.00333469
516,5000,0.876757,0.000142815
541,5000,0.73296,0.00265173
566,5000,0.811312,0.00220929
593,5000,0.930878,4.95584e-05
622,5000,0.858653,0.00279061
651,5000,0.879285,0.00337419
682,5000,0.686655,0.00647541
715,5000,0.877356,0.00409559
749,5000,0.619064,0.00174296
785,5000,0.918198,0.008413
822,5000,0.777093,0.0039463
861,5000,0.889843,0.00101161
902,5000,0.81342,0.001749
945,5000,0.929492,0.00294718
990,5000,0.869952,0.00247539
1038,5000,0.69609,0.00530238
1087,5000,0.903436,1.98173e-05
1139,5000,0.799417,0.0014309
1193,5000,0.849331,0.00606223
1250,5000,0.916342,0.00322428
1309,5000,0.818824,0.000148099
1372,5000,0.879411,0.00243241
1437,5000,0.867764,0.00187745
1505,5000,0.906875,0.00180138
1577,5000,0.883174,0.000826708
1652,5000,0.897849,0.000996177
1731,5000,0.890275,0.00603052
1813,5000,0.865755,0.00140422
1900,5000,0.918829,0.000333604
1990,5000,0.813273,0.00622195
2085,5000,0.893249,0.00525565
2184,5000,0.882542,0.00146342
2288,5000,0.913986,0.00124396
2397,5000,0.860931,0.00172665
2512,5000,0.905861,0.00250693
2631,5000,0.861757,0.00330611
2757,5000,0.878885,0.00176028
2888,5000,0.843408,0.000437098
3025,5000,0.810745,0.00136833
3169,5000,0.865534,0.00232639
3320,5000,0.874582,0.00188535
3478,5000,0.913544,0.00066728
3644,5000,0.912968,0.00246037
3818,5000,0.886022,0.000310864
4000,5000,0.859959,0.00125272
