n,t,va,prev
40,5000,0.755554,0.001556
41,5000,0.84746,0.070379
43,5000,0.679369,0.0427445
45,5000,0.787718,0.0354195
48,5000,0.602148,0.0164028
50,5000,0.807002,0.0245135
52,5000,0.121481,0.0218798
55,5000,0.676486,0.0468838
58,5000,0.210166,0.0722997
60,5000,0.40749,0.0167885
63,5000,0.624479,0.0519349
66,5000,0.357596,0.0233379
69,5000,0.669165,0.0638792
73,5000,0.72299,0.0268073
76,5000,0.280804,0.0973667
80,5000,0.830204,0.0137123
84,5000,0.478812,0.0695591
88,5000,0.40278,0.00522054
92,5000,0.466001,0.0250071
96,5000,0.477347,0.0286333
101,5000,0.581939,0.0163863
106,5000,0.213287,0.0374405
111,5000,0.349124,0.0656379
116,5000,0.444463,0.00392114
122,5000,0.14937,0.0530689
127,5000,0.316574,0.0274135
134,5000,0.411376,0.0943139
140,5000,0.608326,0.00593387
147,5000,0.609785,0.0147212
154,5000,0.181632,0.0498076
161,5000,0.245495,0.0184255
169,5000,0.0893061,0.0183328
177,5000,0.359322,0.0140589
185,5000,0.348774,0.00600573
194,5000,0.221678,0.00383849
203,5000,0.209846,0.0263002
213,5000,0.364702,0.0218008
223,5000,0.106837,0.0256321
234,5000,0.366987,0.0184724
245,5000,0.0821632,0.00867528
257,5000,0.156909,0.0599266
269,5000,0.139583,0.0591477
282,5000,0.202742,0.00595011
295,5000,0.0674685,0.0184861
309,5000,0.153554,0.00471689
324,5000,0.0992494,0.00304885
339,5000,0.111079,0.0248065
356,5000,0.16901,0.013512
373,5000,0.0701575,0.0530837
390,5000,0.174697,0.000244703
409,5000,0.181697,0.0320221
428,5000,0.241786,0.0156417
449,5000,0.0627775,0.00332408
470,5000,0.232897,0.0176043
493,5000,0.218439,0.00356023
516,5000,0.129708,0.0127812
541,5000,0.154754,0.00594866
566,5000,0.26504,0.00382868
593,5000,0.331214,0.0362723
622,5000,0.201643,0.00687418
651,5000,0.130579,0.0103085
682,5000,0.115571,0.00120747
715,5000,0.105267,0.0132898
749,5000,0.0908146,0.00568066
785,5000,0.146235,0.00268804
822,5000,0.0637645,0.0362819
861,5000,0.217242,0.011142
902,5000,0.15495,0.03333
945,5000,0.120929,0.0119688
990,5000,0.250496,0.0287824
1038,5000,0.019315,0.0151712
1087,5000,0.0944403,0.00126163
1139,5000,0.0841291,0.00226753
1193,5000,0.0441085,0.0179941
1250,5000,0.0181296,0.00655794
1309,5000,0.0848223,0.00448864
1372,5000,0.0840265,0.0145913
1437,5000,0.114977,0.0298709
1505,5000,0.0558066,8.18198e-05
1577,5000,0.117761,0.0106936
1652,5000,0.0613676,0.0284917
1731,5000,0.0290192,0.00914358
1813,5000,0.102157,0.00163363
1900,5000,0.0282308,0.00738456
1990,5000,0.104502,0.00505393
2085,5000,0.00810703,0.00090081
2184,5000,0.0471258,0.00430341
2288,5000,0.0681323,0.00554135
2397,5000,0.0546053,0.00402858
2512,5000,0.138446,0.00530594
2631,5000,0.133026,0.00569497
2757,5000,0.0806794,0.00383162
2888,5000,0.130678,0.00968013
3025,5000,0.0881423,0.00192134
3169,5000,0.0459988,0.00617315
3320,5000,0.0844959,0.00393336
3478,5000,0.0285174,0.00190192
3644,5000,0.0314101,0.00224729
3818,5000,0.0629084,0.00158272
4000,5000,0.0825193,0.0129248
