n,t,va,prev
40,5000,0.915916,0.00225143
41,5000,0.931695,0.0102634
43,5000,0.959549,0.00349612
45,5000,0.933407,0.00943995
48,5000,0.948047,0.00106555
50,5000,0.9199,0.0160419
52,5000,0.926286,0.0438933
55,5000,0.906978,0.0380096
58,5000,0.935678,0.0121856
60,5000,0.932305,0.0156327
63,5000,0.934654,0.00212573
66,5000,0.953569,0.012594
69,5000,0.941403,0.00874205
73,5000,0.926686,0.00349028
76,5000,0.953819,0.00571085
80,5000,0.935517,0.00865441
84,5000,0.925832,0.0138448
88,5000,0.932923,0.00680852
92,5000,0.935022,0.0121405
96,5000,0.932127,0.00476602
101,5000,0.905425,0.00994382
106,5000,0.924893,0.00110025
111,5000,0.912129,0.0279158
116,5000,0.918954,0.0124967
122,5000,0.936515,0.00426589
127,5000,0.909119,0.00602503
134,5000,0.908145,0.00900893
140,5000,0.933506,0.0145794
147,5000,0.918384,0.00594788
154,5000,0.923846,0.000994418
161,5000,0.918478,0.00253707
169,5000,0.910106,0.000689911
177,5000,0.916394,0.00679806
185,5000,0.941535,0.00970868
194,5000,0.931512,0.016075
203,5000,0.887246,0.00635339
213,5000,0.903285,0.000241509
223,5000,0.913073,0.00260586
234,5000,0.917646,0.00391416
245,5000,0.922936,0.00422181
257,5000,0.894025,0.00274302
269,5000,0.886848,0.0202664
282,5000,0.898442,0.011068
295,5000,0.907474,0.00461539
309,5000,0.902412,0.00674925
324,5000,0.872561,0.00921024
339,5000,0.920289,0.00663765
356,5000,0.894546,0.0194257
373,5000,0.823634,0.00290688
390,5000,0.768517,0.0099587
409,5000,0.900834,0.00460251
428,5000,0.768288,0.000749686
449,5000,0.592176,0.0165548
470,5000,0.745097,0.00438002
493,5000,0.176104,0.0184318
516,5000,0.417268,0.0691692
541,5000,0.422763,0.000472186
566,5000,0.604611,0.032234
593,5000,0.431813,0.0278546
622,5000,0.197348,0.020349
651,5000,0.46717,0.0115839
682,5000,0.491347,0.0255139
715,5000,0.0966712,0.0133991
749,5000,0.0506578,0.00295155
785,5000,0.385269,0.017696
822,5000,0.588867,0.0277019
861,5000,0.315308,0.00959001
902,5000,0.336576,0.0141271
945,5000,0.55532,0.00767837
990,5000,0.389631,0.00136003
1038,5000,0.651261,0.00146263
1087,5000,0.104276,0.0103279
1139,5000,0.571882,0.0190055
1193,5000,0.205355,0.00646532
1250,5000,0.397745,0.0119802
1309,5000,0.49102,0.0035657
1372,5000,0.653462,0.00360673
1437,5000,0.266202,0.008353
1505,5000,0.23197,0.00139884
1577,5000,0.223424,4.71135e-05
1652,5000,0.44309,0.0148019
1731,5000,0.332505,0.0138003
1813,5000,0.081856,0.0351978
1900,5000,0.0918338,0.00438423
1990,5000,0.269187,0.0106769
2085,5000,0.178608,0.0115359
2184,5000,0.349682,0.00647344
2288,5000,0.100316,0.00643986
2397,5000,0.0750058,0.00354687
2512,5000,0.309299,0.00480205
2631,5000,0.426162,0.00755256
2757,5000,0.167291,0.00629216
2888,5000,0.1264,0.00455816
3025,5000,0.366025,0.000556604
3169,5000,0.181582,0.00709731
3320,5000,0.202046,0.0107993
3478,5000,0.0695944,0.0106526
3644,5000,0.229302,0.00635406
3818,5000,0.306006,0.0100037
4000,5000,0.229325,0.00147749
