n,t,va,prev
40,5000,0.925702,0.0104167
41,5000,0.902889,0.0328581
43,5000,0.896341,0.0363461
45,5000,0.938257,0.059575
48,5000,0.952749,0.0159336
50,5000,0.867704,0.0692352
52,5000,0.896641,0.0124272
55,5000,0.943538,0.0629207
58,5000,0.901713,0.0161206
60,5000,0.908421,0.014059
63,5000,0.864575,0.0413005
66,5000,0.899311,0.0236559
69,5000,0.892263,0.0146516
73,5000,0.871434,0.0304765
76,5000,0.911597,0.0294452
80,5000,0.861864,0.0128274
84,5000,0.871101,0.0147831
88,5000,0.858286,0.0397782
92,5000,0.835103,0.0341645
96,5000,0.865778,0.0226816
101,5000,0.895815,0.0126263
106,5000,0.906906,0.0200748
111,5000,0.895563,0.0167654
116,5000,0.838794,0.0401791
122,5000,0.91023,0.0281374
127,5000,0.897275,0.028688
134,5000,0.884625,0.0312101
140,5000,0.871684,0.0174676
147,5000,0.856703,0.00751367
154,5000,0.751825,0.023673
161,5000,0.863975,0.000488363
169,5000,0.829136,0.0385927
177,5000,0.856683,0.00979349
185,5000,0.540428,0.0419891
194,5000,0.456801,0.0119229
203,5000,0.767239,0.000681795
213,5000,0.766832,0.031325
223,5000,0.814848,0.0105227
234,5000,0.466747,0.0299249
245,5000,0.169672,0.0399009
257,5000,0.18766,0.00144232
269,5000,0.326594,0.0198656
282,5000,0.369645,0.00402056
295,5000,0.639838,0.00218954
309,5000,0.462403,0.0403484
324,5000,0.449215,0.00739508
339,5000,0.363519,0.021702
356,5000,0.45492,0.0383793
373,5000,0.263316,0.0209955
390,5000,0.232304,0.0738881
409,5000,0.167883,0.0153451
428,5000,0.310619,0.0181187
449,5000,0.197085,0.00883218
470,5000,0.361287,0.0825684
493,5000,0.361498,0.00586631
516,5000,0.375427,0.0326439
541,5000,0.0525664,0.024634
566,5000,0.517939,0.040291
593,5000,0.25597,0.000812598
622,5000,0.165424,0.00931024
651,5000,0.359208,0.018297
682,5000,0.0954501,0.00905443
715,5000,0.116025,0.00233505
749,5000,0.223924,0.0332508
785,5000,0.306505,0.0139917
822,5000,0.106979,0.00867161
861,5000,0.33213,0.00570065
902,5000,0.286145,0.0102615
945,5000,0.119359,0.0228015
990,5000,0.321894,0.0227849
1038,5000,0.169799,0.0138516
1087,5000,0.0549928,7.82748e-05
1139,5000,0.131611,0.0135526
1193,5000,0.207794,0.0174541
1250,5000,0.123425,0.00085772
1309,5000,0.240508,0.00269465
1372,5000,0.0593117,0.0107304
1437,5000,0.144006,0.0102838
1505,5000,0.124324,0.0144989
1577,5000,0.0446515,0.000323642
1652,5000,0.304156,0.00655993
1731,5000,0.137321,0.0346789
1813,5000,0.11641,0.0027071
1900,5000,0.241855,0.0252026
1990,5000,0.121179,0.0120358
2085,5000,0.2459,0.00900982
2184,5000,0.185837,0.00794284
2288,5000,0.232012,0.0100975
2397,5000,0.109028,0.00693649
2512,5000,0.0608796,0.00400378
2631,5000,0.033206,0.00237647
2757,5000,0.0903216,0.0112542
2888,5000,0.101359,0.0130262
3025,5000,0.209906,0.00043767
3169,5000,0.0566018,0.00929507
3320,5000,0.148295,0.000254317
3478,5000,0.1619,0.00125759
3644,5000,0.132491,0.00863722
3818,5000,0.072239,0.0134848
4000,5000,0.0835237,0.0012094
