n,t,va,prev
40,5000,0.8223,0.0181926
41,5000,0.9259,0.0148344
43,5000,0.939489,0.0162723
45,5000,0.917729,0.00799689
48,5000,0.940466,0.0629778
50,5000,0.898071,0.0198975
52,5000,0.872918,0.0146178
55,5000,0.861529,0.0437348
58,5000,0.919213,0.0334641
60,5000,0.861634,0.0146008
63,5000,0.900006,0.0147325
66,5000,0.864039,0.0114155
69,5000,0.931413,0.00756032
73,5000,0.922725,0.00267724
76,5000,0.920325,0.0052599
80,5000,0.836065,0.0194078
84,5000,0.915766,0.00191171
88,5000,0.913129,0.00835722
92,5000,0.62373,0.0596345
96,5000,0.870594,0.0013557
101,5000,0.557151,0.0423551
106,5000,0.872761,0.0244289
111,5000,0.856955,0.0230147
116,5000,0.891445,0.0436414
122,5000,0.825369,0.000420673
127,5000,0.584591,0.0363538
134,5000,0.655503,0.056742
140,5000,0.417378,0.0180293
147,5000,0.764516,0.0191078
154,5000,0.550882,0.0564063
161,5000,0.0350788,0.0203535
169,5000,0.330746,0.0382501
177,5000,0.536789,0.0633985
185,5000,0.429848,0.0262833
194,5000,0.526139,0.0595433
203,5000,0.312625,0.0286136
213,5000,0.392704,0.0476915
223,5000,0.612142,0.00613995
234,5000,0.134795,0.000905417
245,5000,0.473119,0.00347248
257,5000,0.222312,0.00676265
269,5000,0.211208,0.0201139
282,5000,0.380417,0.0456872
295,5000,0.332663,0.0165456
309,5000,0.379953,0.0181156
324,5000,0.25465,0.0244002
339,5000,0.219129,0.0324214
356,5000,0.120885,0.0216675
373,5000,0.320826,0.0563334
390,5000,0.275181,0.0190859
409,5000,0.391462,0.0184549
428,5000,0.182238,0.0305626
449,5000,0.550525,0.017154
470,5000,0.107152,0.0472711
493,5000,0.165721,0.00525414
516,5000,0.052394,0.014628
541,5000,0.287663,0.0232311
566,5000,0.12001,0.00699173
593,5000,0.103626,0.00244007
622,5000,0.304771,0.0164575
651,5000,0.186341,0.00687698
682,5000,0.30357,0.00264223
715,5000,0.240996,0.0406363
749,5000,0.0904063,0.00881513
785,5000,0.199096,0.0182501
822,5000,0.182338,0.0127341
861,5000,0.36171,0.0017627
902,5000,0.430463,0.0041662
945,5000,0.113845,0.00785463
990,5000,0.275443,0.00426867
1038,5000,0.190976,0.00539458
1087,5000,0.231088,0.00327667
1139,5000,0.307871,0.00565748
1193,5000,0.105897,0.0050377
1250,5000,0.191538,0.0086359
1309,5000,0.28034,0.00146317
1372,5000,0.0848531,0.00769485
1437,5000,0.0582784,0.0142975
1505,5000,0.081821,0.0044727
1577,5000,0.0920481,0.00817427
1652,5000,0.0599085,0.00609217
1731,5000,0.179257,0.00301622
1813,5000,0.152859,0.00583632
1900,5000,0.12709,0.0117076
1990,5000,0.0921594,0.00414287
2085,5000,0.342013,0.00533911
2184,5000,0.114836,0.00559001
2288,5000,0.105791,0.0046749
2397,5000,0.0246935,0.01322
2512,5000,0.135849,0.00489
2631,5000,0.158726,0.0162407
2757,5000,0.150849,0.00770998
2888,5000,0.137479,0.00091694
3025,5000,0.0662062,0.00599432
3169,5000,0.0950805,0.0095895
3320,5000,0.126868,0.00097533
3478,5000,0.0561929,0.000437252
3644,5000,0.235664,0.00589738
3818,5000,0.0605406,0.000544477
4000,5000,0.0882439,0.0200271
