n,t,va,prev
40,5000,0.896913,0.0525359
41,5000,0.910125,0.0308953
43,5000,0.915943,0.0577237
45,5000,0.898313,0.0408286
48,5000,0.898697,0.0169853
50,5000,0.91569,0.0385488
52,5000,0.919455,0.0194645
55,5000,0.948481,0.0478409
58,5000,0.931943,0.0437175
60,5000,0.903501,0.0134922
63,5000,0.904035,0.0335224
66,5000,0.911582,0.013431
69,5000,0.891655,0.037919
73,5000,0.89812,0.00307286
76,5000,0.901984,0.0122255
80,5000,0.88017,0.0203487
84,5000,0.911201,0.0154367
88,5000,0.86167,0.0128045
92,5000,0.876737,0.00866708
96,5000,0.903476,0.013761
101,5000,0.926411,0.0561566
106,5000,0.886859,0.0114759
111,5000,0.886053,0.0299766
116,5000,0.881193,0.0205034
122,5000,0.848249,0.0277888
127,5000,0.892146,0.0140507
134,5000,0.879672,0.0170455
140,5000,0.87546,0.0022187
147,5000,0.902965,0.0399385
154,5000,0.850498,0.0268822
161,5000,0.88694,0.0442057
169,5000,0.89874,0.0165753
177,5000,0.869928,0.00862129
185,5000,0.90947,0.0206791
194,5000,0.880034,0.00912638
203,5000,0.873037,0.0376292
213,5000,0.901971,0.0177602
223,5000,0.838431,0.0126987
234,5000,0.831868,0.00267635
245,5000,0.870184,0.008651
257,5000,0.79469,0.0195811
269,5000,0.797484,0.0155344
282,5000,0.823414,0.00228704
295,5000,0.795126,0.00936303
309,5000,0.874433,0.0268923
324,5000,0.667094,0.0364083
339,5000,0.801618,0.038502
356,5000,0.668996,0.0100502
373,5000,0.732916,0.0166103
390,5000,0.567292,0.0169827
409,5000,0.274659,0.0220891
428,5000,0.430507,0.080904
449,5000,0.574129,0.0181705
470,5000,0.473264,0.00178098
493,5000,0.199226,0.00788898
516,5000,0.146247,0.0157554
541,5000,0.391811,0.0159748
566,5000,0.586245,0.0166925
593,5000,0.30874,0.00227495
622,5000,0.421302,0.00734919
651,5000,0.125252,0.0234996
682,5000,0.157146,0.0126595
715,5000,0.135652,0.00629648
749,5000,0.221609,0.0054722
785,5000,0.212632,0.00922268
822,5000,0.354695,0.0167424
861,5000,0.0142642,0.0118968
902,5000,0.436375,0.0189261
945,5000,0.358234,0.0324541
990,5000,0.378346,0.00216389
1038,5000,0.180833,0.0176383
1087,5000,0.222199,0.00557738
1139,5000,0.330451,0.00984132
1193,5000,0.203606,0.0311634
1250,5000,0.106475,0.00147819
1309,5000,0.271585,0.0192894
1372,5000,0.145318,0.0102191
1437,5000,0.175261,0.00897529
1505,5000,0.227384,0.0119807
1577,5000,0.113436,0.0172593
1652,5000,0.0762537,0.0189901
1731,5000,0.066797,0.00802524
1813,5000,0.326009,0.00437963
1900,5000,0.201901,0.0135964
1990,5000,0.119738,0.000577373
2085,5000,0.144477,0.0230536
2184,5000,0.211733,0.00365176
2288,5000,0.30335,0.00722063
2397,5000,0.256095,0.0170257
2512,5000,0.183689,0.00474126
2631,5000,0.0411887,0.0089346
2757,5000,0.0985666,0.00205941
2888,5000,0.145035,0.00469287
3025,5000,0.115537,0.00392214
3169,5000,0.0346947,0.00344688
3320,5000,0.0283895,0.00113504
3478,5000,0.109792,0.00480947
3644,5000,0.107439,0.00992141
3818,5000,0.141277,0.00368359
4000,5000,0.106232,0.00859653
