n,t,va,prev
40,5000,0.894658,0.0291394
41,5000,0.894396,0.0013702
43,5000,0.8664,0.0509382
45,5000,0.905982,0.0247751
48,5000,0.629999,0.0600485
50,5000,0.908312,0.0357555
52,5000,0.876654,0.000362292
55,5000,0.883746,0.00801194
58,5000,0.884204,0.039585
60,5000,0.868752,0.00858541
63,5000,0.858148,0.0146312
66,5000,0.842834,0.0361307
69,5000,0.882662,0.0355406
73,5000,0.894298,0.0233559
76,5000,0.903343,0.0227312
80,5000,0.840158,0.0550532
84,5000,0.905052,0.027342
88,5000,0.874237,0.0348344
92,5000,0.858441,0.0397232
96,5000,0.852954,0.00416749
101,5000,0.864661,0.00091266
106,5000,0.396362,0.0457767
111,5000,0.779027,0.00144499
116,5000,0.879594,0.00388147
122,5000,0.651997,0.0376568
127,5000,0.831381,0.0056211
134,5000,0.707045,0.000398897
140,5000,0.817363,0.00853352
147,5000,0.74859,0.00255708
154,5000,0.556614,0.024043
161,5000,0.73027,0.011236
169,5000,0.681927,0.0240708
177,5000,0.802207,0.0269084
185,5000,0.438054,0.00424246
194,5000,0.789329,0.00898995
203,5000,0.645781,0.0219876
213,5000,0.567174,0.0377572
223,5000,0.363408,0.00665257
234,5000,0.555278,0.0178378
245,5000,0.349258,0.0398698
257,5000,0.55656,0.0445947
269,5000,0.267563,0.0440723
282,5000,0.367295,0.019184
295,5000,0.253224,0.0447763
309,5000,0.194183,0.051472
324,5000,0.397705,0.0310771
339,5000,0.310879,0.0171096
356,5000,0.169623,0.0181536
373,5000,0.134171,0.0292725
390,5000,0.324662,0.00465146
409,5000,0.381895,0.0240214
428,5000,0.766279,0.0409795
449,5000,0.413282,0.000776733
470,5000,0.243731,0.00742425
493,5000,0.431142,0.00528219
516,5000,0.272774,0.0651502
541,5000,0.237814,0.0388989
566,5000,0.316636,0.0224727
593,5000,0.320233,0.0147774
622,5000,0.176858,0.0268059
651,5000,0.453657,0.00483431
682,5000,0.248314,0.0137359
715,5000,0.270969,0.00432215
749,5000,0.268859,0.0058422
785,5000,0.184084,0.0281105
822,5000,0.26472,0.0138301
861,5000,0.0185608,0.0102519
902,5000,0.304807,0.00674357
945,5000,0.111287,0.00987369
990,5000,0.171155,0.00509888
1038,5000,0.163472,0.032091
1087,5000,0.0525258,0.0257653
1139,5000,0.185884,0.0185795
1193,5000,0.0644662,0.0320027
1250,5000,0.00819794,0.013483
1309,5000,0.204198,0.0198252
1372,5000,0.1825,0.0152485
1437,5000,0.18489,0.00892919
1505,5000,0.201265,0.00653228
1577,5000,0.0864331,0.000712006
1652,5000,0.165644,0.00935034
1731,5000,0.17134,0.00326693
1813,5000,0.137233,0.00875128
1900,5000,0.198332,0.0333144
1990,5000,0.305472,0.0046765
2085,5000,0.0526773,0.000281269
2184,5000,0.14396,0.000300731
2288,5000,0.150515,0.00400735
2397,5000,0.108248,0.00453483
2512,5000,0.0884734,0.0106066
2631,5000,0.252407,0.00409329
2757,5000,0.203329,0.0271306
2888,5000,0.0431559,0.00383713
3025,5000,0.0500049,0.00387405
3169,5000,0.0483822,0.00598623
3320,5000,0.0992773,0.00782387
3478,5000,0.118574,0.00297576
3644,5000,0.0819049,0.00156665
3818,5000,0.090038,0.00473715
4000,5000,0.0855144,0.0104758
