n,t,va,prev
40,5000,0.995799,0.000897927
41,5000,0.996142,0.000372675
43,5000,0.994577,0.000360764
45,5000,0.995659,0.000858507
48,5000,0.996608,0.000117787
50,5000,0.996858,0.000795463
52,5000,0.995877,0.000931078
55,5000,0.996467,0.000433678
58,5000,0.997319,0.00123365
60,5000,0.995938,0.00251065
63,5000,0.995068,0.00177634
66,5000,0.996981,0.000338975
69,5000,0.996346,0.000187339
73,5000,0.995665,0.000804765
76,5000,0.995008,0.000992699
80,5000,0.995572,9.58271e-05
84,5000,0.996438,0.00129555
88,5000,0.996957,0.000463824
92,5000,0.996304,0.000123149
96,5000,0.99572,0.000366719
101,5000,0.994433,0.00207444
106,5000,0.995704,0.000255597
111,5000,0.995074,0.000429957
116,5000,0.996561,0.00020142
122,5000,0.996396,0.000725749
127,5000,0.995214,0.00101629
134,5000,0.995994,0.000383182
140,5000,0.994953,0.0011153
147,5000,0.993909,0.00125203
154,5000,0.995098,0.00121962
161,5000,0.995825,0.000536966
169,5000,0.994964,2.46414e-05
177,5000,0.995026,0.00101401
185,5000,0.993569,0.000942482
194,5000,0.992807,0.00177062
203,5000,0.994669,0.000713691
213,5000,0.994836,0.000821028
223,5000,0.994752,0.000401396
234,5000,0.995704,0.000172176
245,5000,0.994442,0.000679525
257,5000,0.994821,0.000841097
269,5000,0.995299,1.75664e-05
282,5000,0.994556,0.00131656
295,5000,0.993019,0.000229122
309,5000,0.99192,0.000338088
324,5000,0.995761,0.000768589
339,5000,0.993653,1.66334e-05
356,5000,0.993428,0.000671859
373,5000,0.993672,0.000546861
390,228,0.994478,9.08318e-07
409,5000,0.992833,0.00142843
428,5000,0.99378,0.000336918
449,5000,0.994486,0.000733362
470,5000,0.992645,0.000296724
493,5000,0.968641,0.00356513
516,5000,0.95526,0.000653929
541,5000,0.956939,0.00191291
566,5000,0.970069,0.000762679
593,5000,0.974742,0.0011671
622,5000,0.969941,0.000123965
651,5000,0.982818,0.00110296
682,5000,0.971739,1.5431e-05
715,5000,0.966261,0.00291559
749,5000,0.946327,0.000545421
785,5000,0.908004,0.000666662
822,5000,0.965154,0.00155836
861,5000,0.949978,0.000635602
902,5000,0.951785,0.00071021
945,5000,0.932569,0.00141484
990,5000,0.929434,0.00295996
1038,5000,0.952913,0.00235599
1087,5000,0.950099,0.00295419
1139,5000,0.965846,5.14616e-05
1193,5000,0.972354,0.00185305
1250,5000,0.959556,0.00138599
1309,5000,0.959215,0.00122451
1372,5000,0.950613,3.00034e-05
1437,5000,0.963878,0.00116716
1505,5000,0.956132,0.000367494
1577,5000,0.94275,0.00150503
1652,5000,0.957493,0.000832514
1731,5000,0.926072,0.000130098
1813,5000,0.966573,0.000573694
1900,5000,0.955814,0.00140358
1990,5000,0.954599,0.00233379
2085,5000,0.958575,0.000523703
2184,5000,0.959294,0.000650169
2288,5000,0.9674,0.000873501
2397,5000,0.965934,0.000513239
2512,5000,0.959645,0.00130566
2631,5000,0.962859,0.00107544
2757,5000,0.968596,0.000577118
2888,5000,0.969711,0.000856839
3025,5000,0.949794,0.000403542
3169,5000,0.958631,0.00110874
3320,5000,0.956354,7.5208e-05
3478,5000,0.952873,0.000921295
3644,5000,0.97079,0.000664271
3818,5000,0.941252,0.000556906
4000,5000,0.969388,0.000443021
