n,t,va,prev
40,5000,0.950995,0.00651924
41,5000,0.936684,0.00271566
43,5000,0.911646,0.0267958
45,5000,0.967458,0.015844
48,5000,0.961791,0.00567954
50,5000,0.949502,0.000988045
52,5000,0.947289,0.00950393
55,5000,0.898619,0.0407965
58,5000,0.947951,0.00450041
60,5000,0.962492,0.0158424
63,5000,0.953758,0.0250725
66,5000,0.915001,0.0228314
69,5000,0.961458,0.0155473
73,5000,0.940143,0.00626551
76,5000,0.91856,0.0302909
80,5000,0.956145,0.016372
84,5000,0.961832,0.000307024
88,5000,0.939999,0.00704781
92,5000,0.949657,0.00185248
96,5000,0.933419,0.00337688
101,5000,0.922306,0.0059816
106,5000,0.962146,0.00928411
111,5000,0.949082,0.00523736
116,5000,0.946416,0.00275037
122,5000,0.934826,0.00646423
127,5000,0.901855,0.0118041
134,5000,0.94077,0.00823101
140,5000,0.946185,0.000342173
147,5000,0.905033,0.0184326
154,5000,0.946546,0.000527283
161,5000,0.910979,0.00159579
169,5000,0.921203,0.0140147
177,5000,0.942998,0.0109428
185,5000,0.881947,0.0176991
194,5000,0.948937,0.00702901
203,5000,0.936186,0.00446446
213,5000,0.875434,0.0210674
223,5000,0.944265,0.0132478
234,5000,0.935103,0.0319664
245,5000,0.624323,0.037232
257,5000,0.922228,0.00506198
269,5000,0.702889,0.0111729
282,5000,0.928158,0.00619432
295,5000,0.668803,0.0020444
309,5000,0.495728,0.0073804
324,5000,0.575201,0.00251597
339,5000,0.652144,0.023566
356,5000,0.227984,0.0242031
373,5000,0.407036,0.00287619
390,5000,0.304671,0.0366358
409,5000,0.516772,0.0289716
428,5000,0.533437,0.00148443
449,5000,0.464101,0.0118088
470,5000,0.496317,0.0119168
493,5000,0.711831,0.0193479
516,5000,0.366817,0.0234706
541,5000,0.128702,0.0287653
566,5000,0.459344,0.00489794
593,5000,0.202418,0.00245595
622,5000,0.143634,0.00179316
651,5000,0.179762,0.00223477
682,5000,0.191963,0.0265603
715,5000,0.311688,0.00295111
749,5000,0.142662,0.00951093
785,5000,0.40174,0.0100647
822,5000,0.318448,0.0223758
861,5000,0.242698,0.0200494
902,5000,0.287097,0.0247955
945,5000,0.126572,0.0154854
990,5000,0.581714,0.0091711
1038,5000,0.46059,0.0122515
1087,5000,0.618601,0.00530981
1139,5000,0.300257,0.0217209
1193,5000,0.55904,0.0281436
1250,5000,0.154402,0.0132182
1309,5000,0.0590905,0.0192562
1372,5000,0.114943,0.0194936
1437,5000,0.455828,0.0143007
1505,5000,0.397723,0.00560516
1577,5000,0.277559,0.00618794
1652,5000,0.152386,0.00198046
1731,5000,0.360578,0.0031509
1813,5000,0.160715,0.0079089
1900,5000,0.357457,0.0196625
1990,5000,0.0321572,0.00401437
2085,5000,0.522712,0.000493731
2184,5000,0.238806,0.00985334
2288,5000,0.194887,0.00488964
2397,5000,0.412375,0.00661096
2512,5000,0.314811,0.00162385
2631,5000,0.390507,0.0095409
2757,5000,0.519786,0.0150535
2888,5000,0.351979,5.20858e-06
3025,5000,0.204746,0.000393334
3169,5000,0.143557,0.0107408
3320,5000,0.286195,0.00656924
3478,5000,0.148301,0.00126941
3644,5000,0.215761,0.000237239
3818,5000,0.391127,0.00375724
4000,5000,0.24692,0.000232721
