n,t,va,prev
40,5000,0.93666,0.00200647
41,5000,0.940737,0.0216684
43,5000,0.81834,0.0350923
45,5000,0.899274,0.0287751
48,5000,0.92526,0.0303324
50,5000,0.915834,0.00591497
52,5000,0.892222,0.0298338
55,5000,0.854305,0.0207071
58,5000,0.858318,0.00250863
60,5000,0.883606,0.0159932
63,5000,0.906759,0.0148372
66,5000,0.910384,0.00733067
69,5000,0.893064,0.0281138
73,5000,0.445794,0.0439841
76,5000,0.420159,0.0349778
80,5000,0.945818,0.0312776
84,5000,0.64053,0.0098081
88,5000,0.849809,0.0380305
92,5000,0.703637,0.0705003
96,5000,0.5922,0.0180855
101,5000,0.707844,0.0662849
106,5000,0.382696,0.0601217
111,5000,0.342702,0.054397
116,5000,0.223243,0.00899887
122,5000,0.613889,0.0517691
127,5000,0.538373,0.0357091
134,5000,0.453739,0.012861
140,5000,0.257582,0.0376694
147,5000,0.377514,0.0220508
154,5000,0.315536,0.0155256
161,5000,0.190388,0.0179948
169,5000,0.758242,0.0288567
177,5000,0.253679,0.0297707
185,5000,0.46783,0.00522431
194,5000,0.364885,0.0133076
203,5000,0.165011,0.0129433
213,5000,0.480748,0.00155788
223,5000,0.400203,0.054128
234,5000,0.181029,0.0602202
245,5000,0.272831,0.0160388
257,5000,0.329375,0.0526966
269,5000,0.433688,0.0291861
282,5000,0.355651,0.0305262
295,5000,0.252484,0.0067739
309,5000,0.0298333,0.021384
324,5000,0.374635,0.0149425
339,5000,0.652078,0.023914
356,5000,0.394251,0.00815028
373,5000,0.178965,0.0184921
390,5000,0.158799,0.0277004
409,5000,0.163346,0.0243589
428,5000,0.335749,0.0147228
449,5000,0.254509,0.0121574
470,5000,0.411768,0.000599407
493,5000,0.332764,0.0177224
516,5000,0.219525,0.0278781
541,5000,0.423784,0.0307447
566,5000,0.0907916,0.00709878
593,5000,0.279445,0.0120497
622,5000,0.368284,0.0305333
651,5000,0.316261,0.016195
682,5000,0.255428,0.014703
715,5000,0.182806,0.0109627
749,5000,0.115279,0.00891343
785,5000,0.0518553,0.00546632
822,5000,0.0665552,0.0072637
861,5000,0.181245,0.00374823
902,5000,0.204724,0.0052269
945,5000,0.0545886,0.0167872
990,5000,0.102545,0.0082405
1038,5000,0.331632,0.00289201
1087,5000,0.230735,0.0151474
1139,5000,0.133421,0.00413385
1193,5000,0.0384078,0.0263298
1250,5000,0.0965543,0.00783781
1309,5000,0.27434,0.0017486
1372,5000,0.301966,0.00989086
1437,5000,0.0323778,0.0067272
1505,5000,0.199911,0.00757602
1577,5000,0.0666266,0.0221985
1652,5000,0.169657,0.0160041
1731,5000,0.222646,0.00798627
1813,5000,0.135833,0.0161474
1900,5000,0.0837193,0.00606912
1990,5000,0.107247,0.00839524
2085,5000,0.0046187,0.00397572
2184,5000,0.119158,0.0176059
2288,5000,0.130241,0.0138079
2397,5000,0.102797,0.0053973
2512,5000,0.132843,0.0123202
2631,5000,0.0723733,0.00778878
2757,5000,0.164254,0.0109468
2888,5000,0.117146,0.00150867
3025,5000,0.131845,0.00498055
3169,5000,0.147294,0.00663318
3320,5000,0.128949,0.00648934
3478,5000,0.0997148,0.0181518
3644,5000,0.0725328,0.00216083
3818,5000,0.0471984,0.00471283
4000,5000,0.0840733,0.0204621
