n,t,va,prev
40,5000,0.996846,0.0001894
41,5000,0.997147,0.000541974
43,5000,0.995997,0.000292731
45,5000,0.990226,0.0025104
48,5000,0.996143,0.000352533
50,5000,0.997324,0.000781228
52,5000,0.996244,0.00131106
55,5000,0.997293,0.000336428
58,5000,0.996806,4.80143e-05
60,5000,0.985085,0.000418314
63,5000,0.994168,0.00175889
66,5000,0.997007,0.000646714
69,5000,0.998206,0.00093929
73,5000,0.99723,0.000785372
76,5000,0.96507,0.00134047
80,5000,0.984898,0.00199821
84,5000,0.994652,0.00126655
88,5000,0.985313,0.000223723
92,5000,0.995161,5.20979e-05
96,5000,0.993669,0.000307129
101,5000,0.988655,0.000200359
106,5000,0.996179,0.000298662
111,5000,0.983464,0.00297621
116,5000,0.974161,0.00203836
122,5000,0.963087,0.00039953
127,5000,0.947078,0.0032533
134,5000,0.787479,0.00709179
140,5000,0.954672,0.00137209
147,5000,0.946157,0.00125296
154,5000,0.929071,0.00238881
161,5000,0.932644,7.96921e-05
169,5000,0.979546,0.00316147
177,5000,0.963119,0.000799046
185,5000,0.939294,0.00585054
194,5000,0.915483,0.00313611
203,5000,0.962672,0.00209608
213,5000,0.978711,0.000795126
223,5000,0.914049,7.79693e-05
234,5000,0.89069,0.00103328
245,5000,0.837248,0.00112116
257,5000,0.875871,0.000334263
269,5000,0.926479,0.00219964
282,5000,0.922774,0.00197614
295,5000,0.942704,0.000293737
309,5000,0.905165,0.00202998
324,5000,0.921821,0.00231456
339,5000,0.93282,0.00133402
356,5000,0.860151,0.00373524
373,5000,0.956307,0.00194108
390,5000,0.944846,0.00206072
409,5000,0.942862,0.00129151
428,5000,0.96755,0.000724583
449,5000,0.922866,0.00336402
470,5000,0.931778,0.0029246
493,5000,0.968469,0.000625842
516,5000,0.934676,0.005677
541,5000,0.934458,0.00095098
566,5000,0.947615,0.000175731
593,5000,0.927365,0.00102013
622,5000,0.942761,4.71797e-05
651,5000,0.944594,0.00159793
682,5000,0.972325,4.11642e-05
715,5000,0.932287,0.000692477
749,5000,0.962266,0.00134939
785,5000,0.944384,0.00340394
822,5000,0.932464,0.00198633
861,5000,0.955508,0.0010153
902,5000,0.954217,0.00102866
945,5000,0.958206,0.000235968
990,5000,0.957637,1.98193e-05
1038,5000,0.95254,0.00026792
1087,5000,0.932516,0.000153338
1139,5000,0.890973,0.00139423
1193,5000,0.938328,0.000947293
1250,5000,0.939842,0.000600954
1309,5000,0.949864,0.000954734
1372,5000,0.941393,0.000963768
1437,5000,0.960505,0.000486743
1505,5000,0.956433,4.60302e-05
1577,5000,0.960028,3.37121e-05
1652,5000,0.958388,0.000374932
1731,5000,0.923957,0.000211161
1813,5000,0.959745,0.000378842
1900,5000,0.933526,0.00018852
1990,5000,0.948244,0.000208401
2085,5000,0.937567,3.09222e-06
2184,5000,0.95066,0.000797041
2288,5000,0.961142,0.00163035
2397,5000,0.956772,0.00223185
2512,5000,0.922562,0.000604252
2631,5000,0.950266,0.000176421
2757,5000,0.954478,0.000112359
2888,5000,0.9322,0.000198835
3025,5000,0.955923,0.000111688
3169,5000,0.946484,1.88e-05
3320,5000,0.935834,0.000241516
3478,5000,0.953292,0.000247372
3644,5000,0.941041,4.39291e-05
3818,5000,0.952348,0.000176568
4000,5000,0.938975,0.000160358
