n,t,va,prev
40,5000,0.998299,0.000321332
41,5000,0.998843,5.59725e-05
43,5000,0.9982,0.0003362
45,5000,0.998762,0.000129847
48,5000,0.99703,0.00164722
50,5000,0.998388,0.00146634
52,5000,0.998181,0.000660532
55,5000,0.997275,0.000280826
58,5000,0.99762,0.00023489
60,5000,0.99829,9.87579e-05
63,5000,0.998426,0.00019441
66,5000,0.997991,0.000578526
69,5000,0.997725,6.28948e-05
73,5000,0.99857,0.000749553
76,5000,0.997925,0.000100494
80,5000,0.997973,2.57009e-05
84,5000,0.997695,5.50364e-05
88,5000,0.998443,0.000300563
92,5000,0.998018,0.000347877
96,5000,0.996794,0.000493929
101,5000,0.996808,0.000929377
106,5000,0.997522,0.000567472
111,5000,0.997232,0.000296714
116,5000,0.998202,4.08379e-05
122,5000,0.997602,0.000229953
127,5000,0.997265,0.000814932
134,5000,0.997584,0.000300608
140,5000,0.997086,0.000433166
147,5000,0.997482,0.000400047
154,5000,0.99737,0.000468123
161,5000,0.998057,0.000445437
169,5000,0.998339,3.07947e-05
177,5000,0.997675,0.000242954
185,5000,0.99727,0.00016467
194,5000,0.997327,8.36844e-05
203,5000,0.997773,0.000530744
213,5000,0.996825,0.00108922
223,5000,0.995712,0.000286588
234,5000,0.997691,0.0003276
245,5000,0.996049,0.000113924
257,5000,0.996654,0.000496221
269,5000,0.995573,0.000200822
282,5000,0.997589,0.000103298
295,5000,0.996947,0.000265646
309,5000,0.995708,0.00026014
324,5000,0.996866,0.000212757
339,5000,0.996687,8.3371e-05
356,5000,0.996901,0.00016254
373,5000,0.996387,0.000329471
390,5000,0.996446,0.000137372
409,5000,0.993816,0.000309846
428,5000,0.995339,0.000427686
449,5000,0.995549,0.00029817
470,5000,0.991058,0.000589726
493,5000,0.983421,0.00145608
516,5000,0.989319,0.00032092
541,5000,0.974363,0.00152677
566,5000,0.957161,0.0010375
593,5000,0.952387,0.00112708
622,5000,0.97269,0.000667799
651,5000,0.96872,0.00269626
682,5000,0.973176,0.000839373
715,5000,0.977637,1.28574e-05
749,5000,0.964285,0.00100655
785,5000,0.970577,0.000688462
822,5000,0.984033,0.000294032
861,5000,0.977806,0.00116516
902,5000,0.971551,0.0010909
945,5000,0.978243,0.00142145
990,5000,0.980982,5.50218e-05
1038,5000,0.975009,0.000222686
1087,5000,0.982079,0.00133374
1139,5000,0.974042,0.000429773
1193,5000,0.966915,0.000879287
1250,5000,0.978107,0.000465663
1309,5000,0.978921,0.000529559
1372,5000,0.978675,5.45407e-06
1437,5000,0.977263,0.00115935
1505,5000,0.979647,0.000168966
1577,5000,0.9687,0.000899498
1652,5000,0.973776,0.000272386
1731,5000,0.969195,0.000595621
1813,5000,0.967616,6.86374e-05
1900,5000,0.971258,0.000745301
1990,5000,0.974811,0.000202985
2085,5000,0.977107,5.61904e-05
2184,5000,0.974194,0.000234711
2288,5000,0.968183,0.00147621
2397,5000,0.981985,8.21062e-06
2512,5000,0.960948,0.000164998
2631,5000,0.980379,0.000800893
2757,5000,0.969588,0.000773595
2888,5000,0.979931,0.000579561
3025,3794,0.976575,8.78357e-07
3169,1998,0.977009,6.26727e-08
3320,5000,0.974679,0.000586829
3478,5000,0.980662,0.000492066
3644,5000,0.972329,0.000517442
3818,5000,0.978502,0.000420659
4000,5000,0.98122,4.08643e-05
