n,t,va,prev
40,5000,0.986903,0.00886085
41,5000,0.970346,0.0113039
43,5000,0.966288,0.00640362
45,5000,0.967271,0.00433877
48,5000,0.981383,0.0149412
50,5000,0.959338,0.0146544
52,5000,0.974747,0.00360858
55,5000,0.960259,0.0168108
58,5000,0.970061,0.0160118
60,5000,0.969755,0.00173334
63,5000,0.971974,0.015478
66,5000,0.975413,0.000904375
69,5000,0.962928,0.0112684
73,5000,0.949372,0.0100156
76,5000,0.973708,0.00300293
80,5000,0.969419,0.00654309
84,5000,0.944475,0.00976805
88,5000,0.971652,0.0102932
92,5000,0.974234,0.0102002
96,5000,0.948716,0.00745639
101,5000,0.942394,0.00173452
106,5000,0.930633,0.00118934
111,5000,0.884263,0.00965455
116,5000,0.88843,0.0151832
122,5000,0.961859,0.0101463
127,5000,0.921383,0.00143735
134,5000,0.954613,0.00382288
140,5000,0.900721,0.00283643
147,5000,0.950484,0.00385674
154,5000,0.92258,0.00439557
161,5000,0.948958,0.00374759
169,5000,0.80533,0.011452
177,5000,0.563788,0.0116983
185,5000,0.615792,0.0133379
194,5000,0.329488,0.0249146
203,5000,0.712185,0.0174479
213,5000,0.646231,0.00649554
223,5000,0.30738,0.0166165
234,5000,0.255597,0.00216809
245,5000,0.66157,0.00658484
257,5000,0.560181,0.0178485
269,5000,0.303417,0.00422069
282,5000,0.596216,0.00297594
295,5000,0.451407,0.000693572
309,5000,0.539572,0.0120128
324,5000,0.328913,0.00178254
339,5000,0.565333,0.00339717
356,5000,0.689772,0.0138336
373,5000,0.320538,0.0301016
390,5000,0.535606,0.0123444
409,5000,0.683827,0.00583897
428,5000,0.231602,0.0102784
449,5000,0.360257,0.00990337
470,5000,0.453896,0.00921098
493,5000,0.581431,0.00881584
516,5000,0.516462,0.0093619
541,5000,0.177646,0.00773321
566,5000,0.443287,0.000800079
593,5000,0.247169,0.0372901
622,5000,0.561534,0.0107752
651,5000,0.593539,0.00894331
682,5000,0.262565,0.00415147
715,5000,0.621292,0.00240788
749,5000,0.150938,0.00360003
785,5000,0.249332,0.00713054
822,5000,0.721015,0.00417537
861,5000,0.159363,0.0153242
902,5000,0.449656,0.00958064
945,5000,0.25477,0.00145627
990,5000,0.274043,0.0198056
1038,5000,0.203335,0.00818204
1087,5000,0.560077,0.000938893
1139,5000,0.440215,0.00357506
1193,5000,0.251796,0.0100166
1250,5000,0.0895869,0.00472549
1309,5000,0.381538,0.00187074
1372,5000,0.431872,0.00994376
1437,5000,0.519765,0.00402028
1505,5000,0.325116,0.000901855
1577,5000,0.201987,0.0102365
1652,5000,0.492537,0.00500191
1731,5000,0.511585,0.00474913
1813,5000,0.475892,0.003067
1900,5000,0.367167,0.00498905
1990,5000,0.0191357,0.0105725
2085,5000,0.752995,0.00987157
2184,5000,0.324082,0.00670791
2288,5000,0.493679,0.00487537
2397,5000,0.522985,0.000253417
2512,5000,0.29974,0.00673581
2631,5000,0.500927,9.07657e-05
2757,5000,0.593898,0.0052068
2888,5000,0.116567,0.00145991
3025,5000,0.495858,0.0135994
3169,5000,0.477772,0.0205475
3320,5000,0.317587,0.00767314
3478,5000,0.694892,0.00283554
3644,5000,0.481094,0.00645771
3818,5000,0.571643,0.00278048
4000,5000,0.593987,0.00572966
