n,t,va,prev
40,5000,0.998136,0.00150944
41,5000,0.997224,0.000537338
43,5000,0.997031,0.00109774
45,5000,0.997894,9.32297e-06
48,5000,0.997861,0.000649363
50,5000,0.997393,0.000614571
52,5000,0.997136,0.000482711
55,5000,0.997583,0.000188089
58,5000,0.998473,8.1232e-05
60,5000,0.99634,0.000323098
63,5000,0.997019,0.000116319
66,5000,0.994518,0.000908018
69,5000,0.997531,0.00102032
73,5000,0.995767,0.000357139
76,5000,0.997382,0.000630401
80,5000,0.996116,0.000163618
84,5000,0.994165,0.0017618
88,5000,0.997705,0.000189518
92,5000,0.997574,0.000740457
96,5000,0.997808,2.00275e-05
101,5000,0.989838,0.000239328
106,5000,0.995071,0.000473076
111,5000,0.99251,0.0012967
116,5000,0.996384,0.00107864
122,5000,0.994232,0.000466993
127,5000,0.991364,0.00185454
134,5000,0.993503,0.000181527
140,5000,0.994811,0.000802165
147,5000,0.993936,0.000544048
154,5000,0.987607,0.0023178
161,5000,0.996302,0.000578161
169,5000,0.995356,0.000372022
177,5000,0.97913,0.000955905
185,5000,0.986368,0.00259568
194,5000,0.980216,0.00110662
203,5000,0.988841,0.00123376
213,5000,0.984057,0.0012565
223,5000,0.986068,0.00119691
234,5000,0.986657,0.000404028
245,5000,0.982885,0.000718937
257,5000,0.970833,0.00131397
269,5000,0.977644,0.00262675
282,5000,0.974181,0.000232939
295,5000,0.934866,0.00192813
309,5000,0.967465,0.000370084
324,5000,0.971396,0.00190624
339,5000,0.968536,0.00169856
356,5000,0.965255,0.00344163
373,5000,0.971148,0.00191663
390,5000,0.981621,0.00225698
409,5000,0.962786,0.00123692
428,5000,0.937919,0.00324931
449,5000,0.933547,0.00190779
470,5000,0.952121,0.000292916
493,5000,0.949522,0.000674626
516,5000,0.946261,0.000317344
541,5000,0.973041,0.00152132
566,5000,0.959821,0.000747559
593,5000,0.933757,0.00192902
622,5000,0.921367,0.00276535
651,5000,0.974904,0.000222131
682,5000,0.961854,0.00085007
715,5000,0.921218,0.000680818
749,5000,0.96854,0.00127753
785,5000,0.975559,0.00155595
822,5000,0.94741,0.00174058
861,5000,0.964173,0.00034893
902,5000,0.955507,0.0017008
945,5000,0.969857,0.00113825
990,5000,0.957497,0.00254719
1038,5000,0.951992,0.000831178
1087,5000,0.944655,0.00108867
1139,5000,0.956532,0.000106176
1193,5000,0.945829,0.000880276
1250,5000,0.905874,0.0020174
1309,5000,0.949936,0.000133078
1372,5000,0.968768,1.86869e-05
1437,5000,0.952989,0.000739895
1505,5000,0.957623,0.00184543
1577,5000,0.958347,0.000250273
1652,5000,0.954688,0.000847786
1731,5000,0.961586,0.00235383
1813,5000,0.944055,0.00163206
1900,5000,0.958036,0.000182149
1990,5000,0.970183,0.000380901
2085,5000,0.966955,0.000807285
2184,5000,0.967263,0.000174113
2288,5000,0.9607,0.000297294
2397,5000,0.963788,3.58176e-06
2512,5000,0.949332,0.000138454
2631,5000,0.960242,0.0006609
2757,5000,0.961564,0.000545275
2888,5000,0.963077,7.85152e-05
3025,5000,0.971152,9.92303e-06
3169,5000,0.962265,0.00021844
3320,5000,0.957698,0.000156369
3478,5000,0.920458,0.000423514
3644,5000,0.951967,0.000418951
3818,5000,0.96273,0.000361943
4000,5000,0.945734,0.00123169
