n,t,va,prev
40,5000,0.983023,0.00312052
41,5000,0.985786,0.00270456
43,5000,0.976735,0.00363521
45,5000,0.984645,0.000980195
48,5000,0.979478,0.00653482
50,5000,0.983495,0.00711977
52,5000,0.985856,0.00325677
55,5000,0.983415,0.000532234
58,5000,0.982255,0.000488278
60,5000,0.976962,0.0037296
63,5000,0.978935,0.00702581
66,5000,0.982273,0.00426328
69,5000,0.963409,0.00562313
73,5000,0.97117,0.00292434
76,5000,0.978756,0.00375221
80,5000,0.984929,0.00280421
84,5000,0.982662,0.00251795
88,5000,0.98089,0.00561755
92,5000,0.962104,0.00383538
96,5000,0.967668,0.000151431
101,5000,0.974916,0.00789489
106,5000,0.921669,0.00396234
111,5000,0.704694,0.0187056
116,5000,0.971432,0.00614943
122,5000,0.927208,0.000274527
127,5000,0.925542,0.00453021
134,5000,0.573185,0.00742685
140,5000,0.789201,0.000758196
147,5000,0.629642,0.00214401
154,5000,0.901473,0.00416562
161,5000,0.497724,0.0121335
169,5000,0.212649,0.00167048
177,5000,0.88675,0.00815549
185,5000,0.463851,0.0032038
194,5000,0.63125,0.0109759
203,5000,0.860086,0.00201802
213,5000,0.821051,0.00261567
223,5000,0.679313,0.00825439
234,5000,0.458926,0.0169273
245,5000,0.178432,0.00374065
257,5000,0.936815,0.00762037
269,5000,0.701027,0.00368724
282,5000,0.696618,0.00521729
295,5000,0.695175,0.00619256
309,5000,0.656037,0.00152106
324,5000,0.495423,0.00192143
339,5000,0.695744,0.00325776
356,5000,0.672555,0.00679759
373,5000,0.779329,0.00238096
390,5000,0.728471,0.00651253
409,5000,0.542249,0.00606327
428,5000,0.597909,0.00927084
449,5000,0.675632,0.00424211
470,5000,0.807071,0.00543176
493,5000,0.837748,8.9678e-05
516,5000,0.711821,0.0190651
541,5000,0.775812,0.00356081
566,5000,0.768099,0.000758889
593,5000,0.757309,0.0129495
622,5000,0.733798,0.00984852
651,5000,0.699418,0.0203475
682,5000,0.764005,0.00261806
715,5000,0.629565,0.00302466
749,5000,0.869873,0.00408962
785,5000,0.832226,0.00206573
822,5000,0.77485,0.00386567
861,5000,0.783816,0.0042667
902,5000,0.799175,0.00674951
945,5000,0.673706,0.00886172
990,5000,0.719944,0.00464917
1038,5000,0.811679,0.00806167
1087,5000,0.814751,0.00157711
1139,5000,0.758981,0.00542089
1193,5000,0.745569,0.00840019
1250,5000,0.82177,0.000950162
1309,5000,0.728612,0.00164143
1372,5000,0.847725,0.00141984
1437,5000,0.828085,0.00286117
1505,5000,0.816375,0.00304439
1577,5000,0.847196,0.000253027
1652,5000,0.707104,0.00276212
1731,5000,0.752386,0.0010335
1813,5000,0.768552,0.000759536
1900,5000,0.738093,0.00433929
1990,5000,0.808401,0.000980443
2085,5000,0.80388,0.00917225
2184,5000,0.783872,0.00408715
2288,5000,0.850546,0.00104414
2397,5000,0.786012,0.0012556
2512,5000,0.848511,0.00383422
2631,5000,0.7948,0.00245088
2757,5000,0.798228,0.000290473
2888,5000,0.826691,0.000247696
3025,5000,0.803755,0.00146466
3169,5000,0.830812,0.00343338
3320,5000,0.813701,0.00444708
3478,5000,0.817754,0.00265652
3644,5000,0.728467,0.00197419
3818,5000,0.772977,0.00223651
4000,5000,0.778677,0.00293649
