n,t,va,prev
40,5000,0.941545,0.0237312
41,5000,0.96319,0.00133894
43,5000,0.917628,0.0308824
45,5000,0.958487,0.0205751
48,5000,0.969584,0.00366378
50,5000,0.949858,0.00486078
52,5000,0.970931,0.0177905
55,5000,0.952285,0.0160914
58,5000,0.939191,0.0508701
60,5000,0.939191,0.0181818
63,5000,0.965398,0.0210552
66,5000,0.955124,0.0126144
69,5000,0.931848,0.0111883
73,5000,0.942369,0.0213856
76,5000,0.912745,3.828e-05
80,5000,0.940888,0.00323504
84,5000,0.932881,0.00737141
88,5000,0.947406,0.01561
92,5000,0.945053,0.0178457
96,5000,0.885742,0.0199941
101,5000,0.760794,0.0104181
106,5000,0.937336,0.00239434
111,5000,0.93681,4.98296e-05
116,5000,0.913451,0.0102217
122,5000,0.559357,0.0198138
127,5000,0.8601,0.00606827
134,5000,0.849668,0.00745154
140,5000,0.550406,0.0127763
147,5000,0.702278,0.0154474
154,5000,0.710678,0.0154887
161,5000,0.672473,0.024614
169,5000,0.762543,0.041986
177,5000,0.438566,0.0566048
185,5000,0.363907,0.00930443
194,5000,0.302366,0.00629913
203,5000,0.267256,0.0172151
213,5000,0.357443,0.00550276
223,5000,0.701772,0.0103338
234,5000,0.366314,0.0277981
245,5000,0.465427,0.00622166
257,5000,0.161373,0.00135926
269,5000,0.371621,0.0132542
282,5000,0.25923,0.0344822
295,5000,0.396339,0.00537726
309,5000,0.560044,0.00949352
324,5000,0.319399,0.0167529
339,5000,0.0264389,0.0205489
356,5000,0.0577631,0.00186421
373,5000,0.687152,0.0071632
390,5000,0.660701,0.00503696
409,5000,0.456309,0.014051
428,5000,0.318711,0.00954204
449,5000,0.128936,0.00900741
470,5000,0.347588,0.0151536
493,5000,0.255461,0.0396972
516,5000,0.271505,0.0192538
541,5000,0.512113,0.00595984
566,5000,0.0808212,0.0180528
593,5000,0.533908,0.00855956
622,5000,0.410193,0.0013225
651,5000,0.228435,0.0014131
682,5000,0.444741,0.00227523
715,5000,0.316764,0.00794043
749,5000,0.433213,0.00497517
785,5000,0.254388,0.0130505
822,5000,0.170696,0.0337243
861,5000,0.347535,0.00315303
902,5000,0.34464,0.00487865
945,5000,0.141247,0.0018399
990,5000,0.166531,0.00439104
1038,5000,0.286614,0.0188292
1087,5000,0.0819419,0.000709076
1139,5000,0.132269,0.00185627
1193,5000,0.367843,0.0135021
1250,5000,0.425102,0.012026
1309,5000,0.195974,0.00577557
1372,5000,0.217158,0.0363824
1437,5000,0.329088,0.00101776
1505,5000,0.100949,0.00365581
1577,5000,0.290009,0.0135245
1652,5000,0.165246,0.00398135
1731,5000,0.160358,0.00347997
1813,5000,0.213581,0.0034638
1900,5000,0.212897,0.00303749
1990,5000,0.084553,0.00422411
2085,5000,0.121758,0.00250328
2184,5000,0.106298,0.0052675
2288,5000,0.220284,0.0173742
2397,5000,0.295258,0.00765777
2512,5000,0.151265,0.00841035
2631,5000,0.0594245,0.003887
2757,5000,0.18488,0.00181201
2888,5000,0.064608,0.00193625
3025,5000,0.261084,0.00196339
3169,5000,0.126508,0.00680351
3320,5000,0.069118,0.00522283
3478,5000,0.16469,0.000841006
3644,5000,0.0849382,0.00135282
3818,5000,0.0989584,0.00104259
4000,5000,0.125319,0.000723332
