n,t,va,prev
40,5000,0.715529,0.13975
41,5000,0.741717,0.0584831
43,5000,0.793354,0.046233
45,5000,0.831568,0.0877589
48,5000,0.849754,0.0586127
50,5000,0.811864,0.0222798
52,5000,0.863316,0.0338888
55,5000,0.646742,0.060761
58,5000,0.874509,0.0167144
60,5000,0.706653,0.0792824
63,5000,0.707331,0.0448553
66,5000,0.855641,0.0374713
69,5000,0.782596,0.0509421
73,5000,0.745295,0.0261368
76,5000,0.732812,0.00672749
80,5000,0.714859,0.0562965
84,5000,0.654013,0.10443
88,5000,0.743009,0.00447666
92,5000,0.299522,0.0389082
96,5000,0.572767,0.0305252
101,5000,0.412298,0.0525736
106,5000,0.378823,0.039905
111,5000,0.433762,0.125026
116,5000,0.493448,0.08393
122,5000,0.294831,0.0625587
127,5000,0.525655,0.0350547
134,5000,0.253937,0.0296774
140,5000,0.153228,0.0357065
147,5000,0.347635,0.00187132
154,5000,0.39491,0.029008
161,5000,0.667683,0.00157986
169,5000,0.490236,0.0932803
177,5000,0.510859,0.0885875
185,5000,0.395325,0.00574338
194,5000,0.312292,0.0551276
203,5000,0.179645,0.00877383
213,5000,0.313915,0.060919
223,5000,0.143637,0.00280693
234,5000,0.0903325,0.0300574
245,5000,0.270405,0.00213767
257,5000,0.384016,0.0383077
269,5000,0.253072,0.0203206
282,5000,0.43031,0.0486837
295,5000,0.0853876,0.0589607
309,5000,0.100116,0.019057
324,5000,0.172017,0.0461277
339,5000,0.0651995,0.112376
356,5000,0.111555,0.0197124
373,5000,0.0454552,0.0427088
390,5000,0.0678155,0.0613055
409,5000,0.310303,0.0100101
428,5000,0.385474,0.0418648
449,5000,0.0949201,0.0571031
470,5000,0.257135,0.0419512
493,5000,0.231875,0.0277466
516,5000,0.00099576,0.032631
541,5000,0.0906089,0.0245296
566,5000,0.0512993,4.33817e-05
593,5000,0.254395,0.0331334
622,5000,0.252446,0.0206239
651,5000,0.0925503,0.0328081
682,5000,0.208044,0.0295364
715,5000,0.330945,0.0277433
749,5000,0.159134,0.0137643
785,5000,0.0204269,0.0181668
822,5000,0.231258,0.0155951
861,5000,0.045997,0.0488585
902,5000,0.238974,0.0123397
945,5000,0.0506029,0.0176145
990,5000,0.120181,0.0131078
1038,5000,0.0862462,0.005212
1087,5000,0.0691363,0.00771506
1139,5000,0.069423,0.0257962
1193,5000,0.041675,0.00512766
1250,5000,0.0462349,0.00276219
1309,5000,0.0873044,0.0012337
1372,5000,0.0551388,0.00798466
1437,5000,0.176286,0.0112545
1505,5000,0.0570767,0.0244467
1577,5000,0.0413819,0.00665159
1652,5000,0.121566,0.0315819
1731,5000,0.152831,0.0337556
1813,5000,0.0911972,0.000160658
1900,5000,0.043627,0.0171086
1990,5000,0.0329707,0.00666243
2085,5000,0.0888927,0.0236257
2184,5000,0.0652606,0.00350187
2288,5000,0.0123378,0.00519496
2397,5000,0.118861,0.00831303
2512,5000,0.0195616,0.00570533
2631,5000,0.0976037,0.0121841
2757,5000,0.0461242,0.0230292
2888,5000,0.0431506,0.0299286
3025,5000,0.0877852,0.00483093
3169,5000,0.103433,0.00867817
3320,5000,0.076558,0.0068912
3478,5000,0.0784112,0.00889989
3644,5000,0.110441,0.0106091
3818,5000,0.00782847,0.0119344
4000,5000,0.0455362,0.00894995
