n,t,va,prev
40,5000,0.951664,0.0223046
41,5000,0.965527,0.0134229
43,5000,0.950832,0.00882053
45,5000,0.959461,0.00539865
48,5000,0.947731,0.00617321
50,5000,0.940041,0.0104342
52,5000,0.957857,0.00617268
55,5000,0.958576,0.0174578
58,5000,0.958086,0.0066605
60,5000,0.956836,0.00293262
63,5000,0.970022,0.00974729
66,5000,0.955586,0.00199971
69,5000,0.945099,0.00619061
73,5000,0.943313,0.0189306
76,5000,0.96135,0.00259259
80,5000,0.950276,0.0145937
84,5000,0.950922,0.0227431
88,5000,0.952333,0.00192768
92,5000,0.955585,0.00240871
96,5000,0.966385,0.00501046
101,5000,0.965157,0.0297275
106,5000,0.957151,0.000798392
111,5000,0.918613,0.0119232
116,5000,0.959007,0.0147159
122,5000,0.950957,0.00608733
127,5000,0.958059,0.00792886
134,5000,0.951603,0.0130852
140,5000,0.954349,0.00819471
147,5000,0.953988,0.021837
154,5000,0.928145,0.00722702
161,5000,0.911627,0.00122933
169,5000,0.954589,0.0114475
177,5000,0.940843,0.00127298
185,5000,0.930277,0.00636762
194,5000,0.951958,0.00160841
203,5000,0.928389,0.0161286
213,5000,0.957053,0.00932186
223,5000,0.948058,0.0109753
234,5000,0.916135,0.000400953
245,5000,0.928992,0.00996546
257,5000,0.946467,0.0102993
269,5000,0.93575,0.00200524
282,5000,0.945919,0.00336533
295,5000,0.945405,0.00267775
309,5000,0.920719,0.00113615
324,5000,0.930286,0.0116152
339,5000,0.859352,0.013074
356,5000,0.77111,0.00878109
373,5000,0.912401,0.00462261
390,5000,0.887322,0.0143348
409,5000,0.808899,0.003103
428,5000,0.731882,0.0133831
449,5000,0.114905,0.00462517
470,5000,0.745395,0.00617563
493,5000,0.383393,0.0107848
516,5000,0.239306,0.0155802
541,5000,0.335737,0.00303309
566,5000,0.206545,0.0328924
593,5000,0.158023,0.0335243
622,5000,0.515727,0.00570056
651,5000,0.580639,0.0110098
682,5000,0.571909,0.0118625
715,5000,0.523131,0.00496787
749,5000,0.395505,0.00516088
785,5000,0.281607,0.00937217
822,5000,0.507831,0.019735
861,5000,0.603658,0.0127237
902,5000,0.35301,0.0118207
945,5000,0.502639,0.0100565
990,5000,0.323656,0.0198488
1038,5000,0.614555,0.00661948
1087,5000,0.112761,0.0210943
1139,5000,0.543174,0.0054343
1193,5000,0.599384,0.00786212
1250,5000,0.407072,0.0119771
1309,5000,0.711083,0.00331446
1372,5000,0.445863,1.51051e-05
1437,5000,0.422385,0.0120116
1505,5000,0.591379,0.00426636
1577,5000,0.0322169,0.0116326
1652,5000,0.623233,0.000938119
1731,5000,0.26486,0.00286151
1813,5000,0.289767,0.011035
1900,5000,0.600305,0.00520108
1990,5000,0.564299,0.0135318
2085,5000,0.537253,0.00383253
2184,5000,0.49516,0.000868495
2288,5000,0.470255,0.00318752
2397,5000,0.169944,0.00149028
2512,5000,0.413268,0.0066819
2631,5000,0.463898,0.0191746
2757,5000,0.18303,0.00976978
2888,5000,0.206356,0.00204956
3025,5000,0.56064,0.000500067
3169,5000,0.527435,0.00237577
3320,5000,0.560848,0.00128077
3478,5000,0.489618,0.0107266
3644,5000,0.368214,0.00161513
3818,5000,0.628084,0.00216162
4000,5000,0.510713,0.00193254
