n,t,va,prev
40,5000,0.976037,0.00780433
41,5000,0.975664,0.00179307
43,5000,0.955462,0.000902505
45,5000,0.964065,0.0155127
48,5000,0.940102,0.00761901
50,5000,0.954212,0.0105798
52,5000,0.959578,0.00276331
55,5000,0.951906,0.00420755
58,5000,0.94739,0.00615175
60,5000,0.948831,0.012563
63,5000,0.959202,0.0190401
66,5000,0.965204,0.0102582
69,5000,0.962084,0.00345656
73,5000,0.95709,0.00400861
76,5000,0.944798,0.0132288
80,5000,0.95442,0.00341951
84,5000,0.936309,0.0102485
88,5000,0.956157,0.00647928
92,5000,0.944236,0.00284773
96,5000,0.958138,0.000116743
101,5000,0.965235,0.00653634
106,5000,0.962975,0.00349361
111,5000,0.947557,0.00522437
116,5000,0.948655,0.010805
122,5000,0.945647,0.000124169
127,5000,0.947166,0.0130631
134,5000,0.937986,0.00660863
140,5000,0.942356,0.00187288
147,5000,0.944683,0.00399042
154,5000,0.947257,0.0059957
161,5000,0.957237,0.00299313
169,5000,0.927992,0.0116133
177,5000,0.946478,0.00485251
185,5000,0.940611,0.0169632
194,5000,0.927469,0.0133857
203,5000,0.947426,0.00236755
213,5000,0.946679,0.00523058
223,5000,0.925782,0.00296835
234,5000,0.947545,0.00624376
245,5000,0.93893,0.00409488
257,5000,0.927518,0.004192
269,5000,0.947925,0.00665186
282,5000,0.947944,0.00255761
295,5000,0.94666,0.00455799
309,5000,0.93671,0.00408606
324,5000,0.934901,0.0110206
339,5000,0.937602,0.0019437
356,5000,0.938276,0.0025021
373,5000,0.906378,0.00131087
390,5000,0.942915,0.00395934
409,5000,0.879474,0.00861971
428,5000,0.934742,0.00227279
449,5000,0.70615,0.0299044
470,5000,0.903092,0.0107328
493,5000,0.288789,0.0117686
516,5000,0.638024,0.00779741
541,5000,0.537624,0.0118541
566,5000,0.439741,0.00168036
593,5000,0.662273,0.0017761
622,5000,0.760557,0.0105895
651,5000,0.625137,0.00236295
682,5000,0.362991,0.0133109
715,5000,0.544384,0.01633
749,5000,0.591566,0.00434922
785,5000,0.440141,0.00700215
822,5000,0.486178,0.00791591
861,5000,0.566961,0.0313206
902,5000,0.489509,0.000285288
945,5000,0.164508,0.00235797
990,5000,0.522174,0.0133776
1038,5000,0.595749,0.000342531
1087,5000,0.33762,0.00892485
1139,5000,0.483587,0.0079582
1193,5000,0.409027,0.00272491
1250,5000,0.612861,0.021948
1309,5000,0.466703,0.00842022
1372,5000,0.0935437,0.011195
1437,5000,0.444381,0.0165018
1505,5000,0.644699,0.00190661
1577,5000,0.376425,0.0138398
1652,5000,0.402117,0.00138924
1731,5000,0.428532,0.0205164
1813,5000,0.521378,0.0135433
1900,5000,0.30868,0.00204804
1990,5000,0.423064,0.0128176
2085,5000,0.550352,0.0137735
2184,5000,0.253352,0.0177928
2288,5000,0.602775,0.00427154
2397,5000,0.610175,0.000241631
2512,5000,0.587701,0.00865107
2631,5000,0.432839,0.00519391
2757,5000,0.630451,0.00958261
2888,5000,0.553213,0.0067924
3025,5000,0.698203,0.0135738
3169,5000,0.679531,0.00981718
3320,5000,0.519135,0.000162842
3478,5000,0.563573,0.00664424
3644,5000,0.642629,0.0103758
3818,5000,0.621997,0.00131126
4000,5000,0.565781,0.00111765
