N,n,t,va,prev
40,3.06122,2000,0.459103,0.211881
40,3.16327,2000,0.715784,0.190359
40,3.26531,2000,0.61879,0.032644
40,3.36735,2000,0.460798,0.0791968
40,3.46939,2000,0.682285,0.0403315
40,3.57143,2000,0.525009,0.0710342
40,3.67347,2000,0.389663,0.1743
40,3.77551,2000,0.561902,0.157202
40,3.87755,2000,0.559697,0.0321571
40,3.97959,2000,0.284443,0.3964
40,4.08163,2000,0.567919,0.0864312
40,4.18367,2000,0.615562,0.0973275
40,4.28571,2000,0.44462,0.108232
40,4.38776,2000,0.347941,0.0681049
40,4.4898,2000,0.196403,0.0204263
40,4.59184,2000,0.422539,0.0558619
40,4.69388,2000,0.133548,0.343994
40,4.79592,2000,0.21245,0.358458
40,4.89796,2000,0.256431,0.00757956
40,5,2000,0.277442,0.171384
400,0,256,0.999552,8.11087e-07
400,0.102041,2000,0.997686,0.000349371
400,0.204082,2000,0.984189,0.000898176
400,0.306122,2000,0.990528,0.00128948
400,0.408163,2000,0.961892,0.00143125
400,0.510204,2000,0.943558,0.00677773
400,0.612245,2000,0.934981,0.00721374
400,0.714286,2000,0.889546,0.0049156
400,0.816327,2000,0.817706,0.00920411
400,0.918367,2000,0.621635,0.0265693
400,1.02041,2000,0.476066,0.00303471
400,1.12245,2000,0.612195,0.00625236
400,1.22449,2000,0.678761,0.0207643
400,1.32653,2000,0.679344,0.0040717
400,1.42857,2000,0.0716978,0.014748
400,1.53061,2000,0.444722,0.00526367
400,1.63265,2000,0.405035,0.0130366
400,1.73469,2000,0.477762,0.0283584
400,1.83673,2000,0.172776,0.017226
400,1.93878,2000,0.315476,0.029808
400,2.04082,2000,0.471682,0.0131245
400,2.14286,2000,0.521368,0.0262582
400,2.2449,2000,0.324589,0.00903594
400,2.34694,2000,0.223811,0.042727
400,2.44898,2000,0.478657,0.0513916
400,2.55102,2000,0.0959714,0.101762
400,2.65306,2000,0.212537,0.0238838
400,2.7551,2000,0.259038,0.00257562
400,2.85714,2000,0.104078,0.033725
