N,n,t,va,prev
100,0,151,0.999985,8.0034e-07
100,0.102041,2000,0.996297,0.000230038
100,0.204082,2000,0.991971,0.000934367
100,0.306122,2000,0.991477,0.000344547
100,0.408163,2000,0.944431,0.003048
100,0.510204,2000,0.924746,0.00598114
100,0.612245,2000,0.887642,0.00985752
100,0.714286,2000,0.94793,0.00622006
100,0.816327,2000,0.951403,0.00225907
100,0.918367,2000,0.947272,0.0110172
100,1.02041,2000,0.87583,0.0135246
100,1.12245,2000,0.680226,0.0120348
100,1.22449,2000,0.927999,0.0142416
100,1.32653,2000,0.260315,0.0322427
100,1.42857,2000,0.768718,0.0365905
100,1.53061,2000,0.531789,0.0134971
100,1.63265,2000,0.717111,0.023064
100,1.73469,2000,0.206553,0.0987574
100,1.83673,2000,0.822303,0.0270281
100,1.93878,2000,0.566482,0.0405615
100,2.04082,2000,0.739843,0.0759665
100,2.14286,2000,0.756681,0.0817604
100,2.2449,2000,0.139302,0.023993
100,2.34694,2000,0.448516,0.0808907
100,2.44898,2000,0.402157,0.0695526
100,2.55102,2000,0.400974,0.0258406
100,2.65306,2000,0.275192,0.0623239
100,2.7551,2000,0.534272,0.0105513
100,2.85714,2000,0.36881,0.0779604
100,2.95918,2000,0.224223,0.0469892
100,3.06122,2000,0.299085,0.0303805
100,3.16327,2000,0.270657,0.126737
100,3.26531,2000,0.155451,0.0294781
100,3.36735,2000,0.35523,0.0109718
100,3.46939,2000,0.246489,0.0405279
100,3.57143,2000,0.0895543,0.0166431
100,3.67347,2000,0.331809,0.00190991
100,3.77551,2000,0.190382,0.0198146
100,3.87755,2000,0.347473,0.0857308
100,3.97959,2000,0.0580394,0.0453031
100,4.08163,2000,0.199161,0.021737
100,4.18367,2000,0.152422,0.0791513
100,4.28571,2000,0.358644,0.16622
100,4.38776,2000,0.179541,0.0184864
100,4.4898,2000,0.0808901,0.0289915
100,4.59184,2000,0.131556,0.0485383
100,4.69388,2000,0.339873,0.0573614
100,4.79592,2000,0.191573,0.0975226
100,4.89796,2000,0.146823,0.0717255
100,5,2000,0.155246,0.104332
1600,0,1313,0.997133,7.88929e-07
1600,0.102041,2000,0.989601,2.76099e-06
1600,0.204082,2000,0.967397,0.000522417
1600,0.306122,2000,0.951917,0.000127058
1600,0.408163,2000,0.935451,0.00055487
1600,0.510204,2000,0.825698,0.00402625
1600,0.612245,2000,0.804892,0.00741056
1600,0.714286,2000,0.673851,0.00872701
1600,0.816327,2000,0.533993,0.00706977
1600,0.918367,2000,0.191024,0.00140414
1600,1.02041,2000,0.157447,0.00849697
1600,1.12245,2000,0.269392,0.0101047
1600,1.22449,2000,0.18503,0.012544
1600,1.32653,2000,0.140681,0.00837246
1600,1.42857,2000,0.168421,0.0221009
1600,1.53061,2000,0.304253,0.00345072
1600,1.63265,2000,0.0302822,0.0119623
1600,1.73469,2000,0.171205,0.0194097
1600,1.83673,2000,0.0742887,0.00605354
1600,1.93878,2000,0.0696645,0.00550053
1600,2.04082,2000,0.0870659,0.0306991
1600,2.14286,2000,0.0127583,0.0285967
1600,2.2449,2000,0.141179,0.00327896
1600,2.34694,2000,0.112939,0.00187809
1600,2.44898,2000,0.0443891,0.00260584
1600,2.55102,2000,0.0666919,0.015446
1600,2.65306,2000,0.0717873,0.00791694
1600,2.7551,2000,0.0167472,0.00868697
1600,2.85714,2000,0.0968092,0.0143085
1600,2.95918,2000,0.0755463,0.0283399
1600,3.06122,2000,0.0445014,0.0186115
1600,3.16327,2000,0.129762,0.00744381
1600,3.26531,2000,0.0310313,0.0155337
1600,3.36735,2000,0.0559767,0.00963734
1600,3.46939,2000,0.158573,0.0423863
1600,3.57143,2000,0.0561355,0.0014497
1600,3.67347,2000,0.0360442,0.0192448
1600,3.77551,2000,0.062522,0.035051
1600,3.87755,2000,0.0357623,0.0234227
1600,3.97959,2000,0.0139839,0.0181978
1600,4.08163,2000,0.0440623,0.018477
1600,4.18367,2000,0.0227373,0.00422
1600,4.28571,2000,0.021422,0.0358238
1600,4.38776,2000,0.0541086,0.00794283
1600,4.4898,2000,0.0818615,0.0167287
1600,4.59184,2000,0.0175513,0.0105701
1600,4.69388,2000,0.0425289,0.0132904
1600,4.79592,2000,0.0207162,0.0227287
1600,4.89796,2000,0.0490204,0.0139368
1600,5,2000,0.0356164,0.00140637
40,0,31,0.999999,1.11659e-06
40,0.102041,2000,0.999707,0.000239702
40,0.204082,2000,0.998642,4.08416e-05
40,0.306122,2000,0.993029,0.00322314
40,0.408163,2000,0.992992,0.000231601
40,0.510204,2000,0.987744,0.00033503
40,0.612245,2000,0.976779,0.00590668
40,0.714286,2000,0.958039,0.0238415
40,0.816327,2000,0.956786,0.0205996
40,0.918367,2000,0.97045,0.00744277
40,1.02041,2000,0.954203,0.0183992
40,1.12245,2000,0.914198,0.00988703
40,1.22449,2000,0.849675,0.0215568
40,1.32653,2000,0.909028,0.0109565
40,1.42857,2000,0.943772,0.0143954
40,1.53061,2000,0.928574,0.00295186
40,1.63265,2000,0.849782,0.0131133
40,1.73469,2000,0.919418,0.0648689
40,1.83673,2000,0.917938,0.070343
40,1.93878,2000,0.768302,0.0506964
40,2.04082,2000,0.835518,0.0525115
40,2.14286,2000,0.814188,0.00529931
40,2.2449,2000,0.883533,0.0868056
40,2.34694,2000,0.833445,0.105568
40,2.44898,2000,0.693484,0.0220461
40,2.55102,2000,0.758559,0.0859157
40,2.65306,2000,0.561073,0.150312
40,2.7551,2000,0.670182,0.162818
40,2.85714,2000,0.498138,0.0708076
40,2.95918,2000,0.476085,0.0376188
40,3.06122,2000,0.743023,0.0692627
40,3.16327,2000,0.653395,0.0928091
40,3.26531,2000,0.539037,0.0749
40,3.36735,2000,0.414439,0.0970398
40,3.46939,2000,0.60742,0.00421607
40,3.57143,2000,0.348459,0.136623
40,3.67347,2000,0.454635,0.187911
40,3.77551,2000,0.422067,0.247274
40,3.87755,2000,0.458656,0.0587492
40,3.97959,2000,0.587947,0.0458304
40,4.08163,2000,0.724902,0.191849
40,4.18367,2000,0.223931,0.128024
40,4.28571,2000,0.272395,0.136462
40,4.38776,2000,0.393427,0.0977408
40,4.4898,2000,0.548844,0.104922
40,4.59184,2000,0.361699,0.0912364
40,4.69388,2000,0.11377,0.262394
40,4.79592,2000,0.377976,0.0861738
40,4.89796,2000,0.23475,0.163123
40,5,2000,0.151906,0.0234861
400,0,358,0.999832,1.46397e-06
400,0.102041,2000,0.997884,0.000199482
400,0.204082,2000,0.9888,0.00011277
400,0.306122,2000,0.969994,0.00155848
400,0.408163,2000,0.946335,0.00237743
400,0.510204,2000,0.927859,0.000420546
400,0.612245,2000,0.885948,0.00131134
400,0.714286,2000,0.832566,0.0253936
400,0.816327,2000,0.675476,0.0128423
400,0.918367,2000,0.706576,0.0176654
400,1.02041,2000,0.551002,0.0140185
400,1.12245,2000,0.700094,0.00297945
400,1.22449,2000,0.560205,0.00534772
400,1.32653,2000,0.204983,0.0168618
400,1.42857,2000,0.271945,0.000847313
400,1.53061,2000,0.318867,0.0292911
400,1.63265,2000,0.199093,0.0412138
400,1.73469,2000,0.238618,0.00263173
400,1.83673,2000,0.247951,0.0338409
400,1.93878,2000,0.390005,0.0290641
400,2.04082,2000,0.250663,0.00987984
400,2.14286,2000,0.239149,0.0165538
400,2.2449,2000,0.458198,0.00823735
400,2.34694,2000,0.132321,0.0558068
400,2.44898,2000,0.419167,0.0143778
400,2.55102,2000,0.115101,0.0713983
400,2.65306,2000,0.331759,0.0157938
400,2.7551,2000,0.0740923,0.0179196
400,2.85714,2000,0.223564,0.0353744
400,2.95918,2000,0.0687897,0.031236
400,3.06122,2000,0.210156,0.0752219
400,3.16327,2000,0.232992,0.0458547
400,3.26531,2000,0.0722753,0.0125204
400,3.36735,2000,0.114711,0.0261999
400,3.46939,2000,0.0515856,0.0452252
400,3.57143,2000,0.15094,0.0631946
400,3.67347,2000,0.191077,0.0476837
400,3.77551,2000,0.0908956,0.00890384
400,3.87755,2000,0.0323785,0.0895506
400,3.97959,2000,0.0844231,0.00766325
400,4.08163,2000,0.01571,0.026431
400,4.18367,2000,0.136498,0.0343
400,4.28571,2000,0.0394572,0.00578794
400,4.38776,2000,0.11803,0.0244342
400,4.4898,2000,0.0552762,0.00248735
400,4.59184,2000,0.0917035,0.0363806
400,4.69388,2000,0.05266,0.0262902
400,4.79592,2000,0.100748,0.016705
400,4.89796,2000,0.0394823,0.0176132
400,5,2000,0.0495987,0.0194679
4000,0,2000,0.988848,3.28632e-05
4000,0.102041,2000,0.982388,0.000180389
4000,0.204082,2000,0.965412,0.000269171
4000,0.306122,2000,0.57737,0.00146598
4000,0.408163,2000,0.880166,0.000879465
4000,0.510204,2000,0.890469,0.0018148
4000,0.612245,2000,0.806323,0.000331503
4000,0.714286,2000,0.713929,0.00245328
4000,0.816327,2000,0.572555,0.00160294
4000,0.918367,2000,0.0462058,0.0097914
4000,1.02041,2000,0.199342,0.00233533
4000,1.12245,2000,0.210334,0.00064962
4000,1.22449,2000,0.131926,0.0154233
4000,1.32653,2000,0.262986,0.0149057
4000,1.42857,2000,0.132432,0.00322319
4000,1.53061,2000,0.0628398,0.00389516
4000,1.63265,2000,0.0967401,0.00158386
4000,1.73469,2000,0.104451,0.00712386
4000,1.83673,2000,0.0386587,0.0048022
4000,1.93878,2000,0.152289,0.0194823
4000,2.04082,2000,0.0973863,0.00235715
4000,2.14286,2000,0.0682456,0.000245776
4000,2.2449,2000,0.159855,0.0341634
4000,2.34694,2000,0.0110882,0.00997809
4000,2.44898,2000,0.0681571,0.0235176
4000,2.55102,2000,0.127623,0.00645536
4000,2.65306,2000,0.0425754,0.0111221
4000,2.7551,2000,0.044331,0.00114227
4000,2.85714,2000,0.0709087,0.0108145
4000,2.95918,2000,0.0305306,0.0113116
4000,3.06122,2000,0.0181318,0.0183139
4000,3.16327,2000,0.0649293,0.00435271
4000,3.26531,2000,0.0805177,0.00791517
4000,3.36735,2000,0.0505648,0.0138821
4000,3.46939,2000,0.0236866,0.00428991
4000,3.57143,2000,0.0319082,0.00958694
4000,3.67347,2000,0.0349834,0.00747628
4000,3.77551,2000,0.020788,0.0150317
4000,3.87755,2000,0.0129101,0.0141647
4000,3.97959,2000,0.035531,0.00697407
4000,4.08163,2000,0.0555909,0.00354472
4000,4.18367,2000,0.0393443,0.0158931
4000,4.28571,2000,0.00199605,0.0211835
4000,4.38776,2000,0.0226487,0.0180669
4000,4.4898,2000,0.043552,0.00541743
4000,4.59184,2000,0.0152156,0.00160006
4000,4.69388,2000,0.0135995,0.0222602
4000,4.79592,2000,0.0144413,0.0318648
4000,4.89796,2000,0.0419521,0.0169277
4000,5,2000,0.024917,0.00971753
