N,n,t,va,prev
100,0,250,0.999851,8.06158e-07
100,0.102041,2000,0.996293,0.000493525
100,0.204082,2000,0.989204,0.000336943
100,0.306122,2000,0.963922,0.000678273
100,0.408163,2000,0.936098,0.00953202
100,0.510204,2000,0.860083,0.00919976
100,0.612245,2000,0.951773,6.66873e-05
100,0.714286,2000,0.853882,0.0135321
100,0.816327,2000,0.786481,0.0208561
100,0.918367,2000,0.874126,0.0174499
100,1.02041,2000,0.771753,0.00617059
100,1.12245,2000,0.668865,0.023088
100,1.22449,2000,0.81641,0.00576608
100,1.32653,2000,0.1939,0.0125244
100,1.42857,2000,0.282328,0.0790299
100,1.53061,2000,0.786711,0.0239649
100,1.63265,2000,0.21342,0.0578359
100,1.73469,2000,0.387038,0.00496077
100,1.83673,2000,0.465457,0.0864501
100,1.93878,2000,0.119083,0.0376588
100,2.04082,2000,0.51437,0.0171722
100,2.14286,2000,0.604315,0.0681907
100,2.2449,2000,0.219927,0.0526201
100,2.34694,2000,0.31223,0.0655107
100,2.44898,2000,0.403683,0.0691461
100,2.55102,2000,0.111551,0.0117236
100,2.65306,2000,0.112539,0.0065349
100,2.7551,2000,0.150878,0.00342818
100,2.85714,2000,0.209647,0.0153386
100,2.95918,2000,0.296894,0.00630816
100,3.06122,2000,0.0994848,0.0159056
100,3.16327,2000,0.233711,0.0517179
100,3.26531,2000,0.181519,0.119345
100,3.36735,2000,0.261021,0.0285529
100,3.46939,2000,0.0651026,0.010715
100,3.57143,2000,0.306328,0.177565
100,3.67347,2000,0.164859,0.123805
100,3.77551,2000,0.15417,0.0364904
100,3.87755,2000,0.0407351,0.0626695
100,3.97959,2000,0.233933,0.0535372
100,4.08163,2000,0.200731,0.000638842
100,4.18367,2000,0.103281,0.108183
100,4.28571,2000,0.123997,0.0902886
100,4.38776,2000,0.234489,0.116854
100,4.4898,2000,0.154386,0.00744573
100,4.59184,2000,0.120953,0.0536111
100,4.69388,2000,0.196442,0.024538
100,4.79592,2000,0.098964,0.053027
100,4.89796,2000,0.0477031,0.190338
100,5,2000,0.141849,0.110069
1600,0,761,0.985032,6.44371e-07
1600,0.102041,2000,0.989624,0.000238196
1600,0.204082,2000,0.93958,0.00257937
1600,0.306122,2000,0.943834,0.000753523
1600,0.408163,2000,0.823901,0.00330419
1600,0.510204,2000,0.78572,0.00287881
1600,0.612245,2000,0.731197,0.00861342
1600,0.714286,2000,0.710172,0.000857685
1600,0.816327,2000,0.544715,0.00482721
1600,0.918367,2000,0.122589,0.00925151
1600,1.02041,2000,0.296215,0.0151481
1600,1.12245,2000,0.136304,0.00138676
1600,1.22449,2000,0.237879,0.0149364
1600,1.32653,2000,0.130849,0.00792571
1600,1.42857,2000,0.119939,0.0217009
1600,1.53061,2000,0.178821,0.0103679
1600,1.63265,2000,0.129911,0.00247515
1600,1.73469,2000,0.141247,1.17996e-05
1600,1.83673,2000,0.160367,0.00107981
1600,1.93878,2000,0.0876218,0.0212565
1600,2.04082,2000,0.0500169,0.011845
1600,2.14286,2000,0.058853,0.0132777
1600,2.2449,2000,0.0866065,0.000496015
1600,2.34694,2000,0.129467,0.0227472
1600,2.44898,2000,0.0428265,0.0368586
1600,2.55102,2000,0.0128619,0.000876487
1600,2.65306,2000,0.0530636,0.00729556
1600,2.7551,2000,0.0710416,0.0447502
1600,2.85714,2000,0.122015,0.0164786
1600,2.95918,2000,0.0565876,0.0017885
1600,3.06122,2000,0.070363,0.0176829
1600,3.16327,2000,0.0460518,0.0406969
