N,n,t,va,prev
100,0,155,0.999969,2.40064e-07
100,0.102041,2000,0.998841,0.000142484
100,0.204082,2000,0.995099,0.000284312
100,0.306122,2000,0.981144,0.00331497
100,0.408163,2000,0.978749,0.00519364
100,0.510204,2000,0.970141,0.00302126
100,0.612245,2000,0.937813,0.0178907
100,0.714286,2000,0.822913,0.00851973
100,0.816327,2000,0.862927,0.0282409
100,0.918367,2000,0.922494,0.00630676
100,1.02041,2000,0.954318,0.0221746
100,1.12245,2000,0.758011,0.0472403
100,1.22449,2000,0.800848,0.0181092
100,1.32653,2000,0.854355,0.00227975
100,1.42857,2000,0.854595,0.0166842
100,1.53061,2000,0.88035,0.0277633
100,1.63265,2000,0.801341,0.00436658
100,1.73469,2000,0.724725,0.0843084
100,1.83673,2000,0.671343,0.0243764
100,1.93878,2000,0.50989,0.0459382
100,2.04082,2000,0.768928,0.0199511
100,2.14286,2000,0.248718,0.00466709
100,2.2449,2000,0.625651,0.132206
100,2.34694,2000,0.399793,0.046087
100,2.44898,2000,0.641363,0.0644704
100,2.55102,2000,0.591382,0.0143065
100,2.65306,2000,0.180477,0.0674987
100,2.7551,2000,0.129255,0.0148497
100,2.85714,2000,0.433419,0.130871
100,2.95918,2000,0.566717,0.0621435
100,3.06122,2000,0.249777,0.0594543
100,3.16327,2000,0.171783,0.0393755
100,3.26531,2000,0.241686,0.0835832
100,3.36735,2000,0.243568,0.0193781
100,3.46939,2000,0.0801272,0.0778389
100,3.57143,2000,0.393575,0.0832023
100,3.67347,2000,0.173293,0.0859067
100,3.77551,2000,0.151568,0.00205521
100,3.87755,2000,0.197039,0.0782028
100,3.97959,2000,0.368027,0.0377518
100,4.08163,2000,0.130897,0.0103547
100,4.18367,2000,0.111841,0.0126998
100,4.28571,2000,0.271818,0.072376
100,4.38776,2000,0.189288,0.0878864
100,4.4898,2000,0.0586507,0.0985995
100,4.59184,2000,0.234921,0.202393
100,4.69388,2000,0.328351,0.186654
100,4.79592,2000,0.11628,0.000289646
100,4.89796,2000,0.167727,0.120784
100,5,2000,0.19423,0.124913
1600,0,1202,0.995945,3.81759e-08
1600,0.102041,2000,0.986273,0.000284138
1600,0.204082,2000,0.980791,0.000552525
1600,0.306122,2000,0.924157,5.54673e-05
1600,0.408163,2000,0.936975,0.00234508
1600,0.510204,2000,0.809687,0.00418759
1600,0.612245,2000,0.782302,0.00318016
1600,0.714286,2000,0.748825,0.000898511
1600,0.816327,2000,0.650207,0.00792524
1600,0.918367,2000,0.545872,0.00535274
1600,1.02041,2000,0.379838,0.00720585
1600,1.12245,2000,0.199406,0.0101524
1600,1.22449,2000,0.211343,0.00506471
1600,1.32653,2000,0.286888,0.020394
1600,1.42857,2000,0.325251,0.0155661
1600,1.53061,2000,0.276092,0.0360924
1600,1.63265,2000,0.0800925,0.00162859
1600,1.73469,2000,0.223352,0.0163556
1600,1.83673,2000,0.16687,0.0209205
1600,1.93878,2000,0.163257,0.00120882
1600,2.04082,2000,0.0743301,0.0331314
1600,2.14286,2000,0.0759527,0.000839007
1600,2.2449,2000,0.0403742,0.0214738
1600,2.34694,2000,0.178229,0.034341
1600,2.44898,2000,0.162492,0.00668703
1600,2.55102,2000,0.0487717,0.0144922
1600,2.65306,2000,0.124381,0.0173703
1600,2.7551,2000,0.06798,0.00592669
1600,2.85714,2000,0.0986832,0.00647108
1600,2.95918,2000,0.0349143,0.00439953
1600,3.06122,2000,0.0862431,0.00360247
1600,3.16327,2000,0.0459288,0.0234237
1600,3.26531,2000,0.0461929,0.0052123
1600,3.36735,2000,0.165866,0.0162474
1600,3.46939,2000,0.0452767,0.0275047
1600,3.57143,2000,0.0703158,0.0221473
1600,3.67347,2000,0.0802855,0.0134757
1600,3.77551,2000,0.0427984,0.0226847
1600,3.87755,2000,0.0406779,0.0523118
1600,3.97959,2000,0.0235823,0.0290822
1600,4.08163,2000,0.0299609,0.0276874
1600,4.18367,2000,0.0323144,0.00554764
1600,4.28571,2000,0.066445,0.00355654
1600,4.38776,2000,0.0462227,0.000987221
1600,4.4898,2000,0.017792,0.0193488
1600,4.59184,2000,0.0119884,0.00674061
1600,4.69388,2000,0.0248521,0.0097538
1600,4.79592,2000,0.0492265,0.00106217
1600,4.89796,2000,0.0497456,0.0320317
1600,5,2000,0.0173719,0.00991387
40,0,26,0.999999,1.05246e-06
40,0.102041,2000,0.999652,8.47541e-05
40,0.204082,2000,0.998812,1.34087e-06
40,0.306122,2000,0.997504,0.00117346
40,0.408163,2000,0.990945,0.00116003
40,0.510204,2000,0.994488,0.00343301
40,0.612245,2000,0.987529,0.000273831
40,0.714286,2000,0.986617,0.00849071
40,0.816327,2000,0.989109,0.0130705
40,0.918367,2000,0.956723,0.00176187
40,1.02041,2000,0.951611,0.00182165
40,1.12245,2000,0.952195,0.0061559
40,1.22449,2000,0.909372,0.0269841
40,1.32653,2000,0.944789,0.0288489
40,1.42857,2000,0.892539,0.00532491
40,1.53061,2000,0.886499,0.0287684
40,1.63265,2000,0.885171,0.0926917
40,1.73469,2000,0.88511,0.0270478
40,1.83673,2000,0.82073,0.0660572
40,1.93878,2000,0.890349,0.0253796
40,2.04082,2000,0.801448,0.06078
40,2.14286,2000,0.839342,0.0268184
40,2.2449,2000,0.544311,0.056175
40,2.34694,2000,0.676191,0.118776
40,2.44898,2000,0.688387,0.0417347
40,2.55102,2000,0.72062,0.0459364
40,2.65306,2000,0.729953,0.0519676
40,2.7551,2000,0.678333,0.0510699
40,2.85714,2000,0.532969,0.194998
40,2.95918,2000,0.777031,0.168861
40,3.06122,2000,0.654995,0.122139
40,3.16327,2000,0.74482,0.0802432
40,3.26531,2000,0.41468,0.146138
40,3.36735,2000,0.415187,0.0973476
40,3.46939,2000,0.537281,0.0845024
40,3.57143,2000,0.705594,0.306653
40,3.67347,2000,0.593824,0.00513845
40,3.77551,2000,0.261202,0.0772042
40,3.87755,2000,0.359047,0.0763987
40,3.97959,2000,0.333109,0.0178117
40,4.08163,2000,0.542974,0.166786
40,4.18367,2000,0.280713,0.020796
40,4.28571,2000,0.246039,0.0407039
40,4.38776,2000,0.295845,0.0177673
40,4.4898,2000,0.474803,0.223066
40,4.59184,2000,0.211096,0.184737
40,4.69388,2000,0.0277677,0.354373
40,4.79592,2000,0.256356,0.0519053
40,4.89796,2000,0.0320608,0.0773408
40,5,2000,0.226162,0.00800862
400,0,420,0.999835,1.30832e-08
400,0.102041,2000,0.998023,0.000498154
400,0.204082,2000,0.984571,5.44648e-05
400,0.306122,2000,0.953329,0.00014814
400,0.408163,2000,0.969164,0.00378136
400,0.510204,2000,0.880966,0.00475047
400,0.612245,2000,0.885288,0.00487754
